sentence,label,group,source
A guest who isn't escaping from a lot of students,0,blimp,distractor_agreement_relative_clause
That student that discovers these waiters,0,blimp,distractor_agreement_relative_clause
Guests who heal Cheryl,1,blimp,distractor_agreement_relative_clause
Those teenagers who haven't hated Alice,1,blimp,distractor_agreement_relative_clause
An organization that wouldn't scare most senators,0,blimp,distractor_agreement_relative_clause
Customers who shouldn't conceal James,1,blimp,distractor_agreement_relative_clause
Some children who approached that adult,1,blimp,distractor_agreement_relative_clause
Most waiters who did complain about Roger,1,blimp,distractor_agreement_relative_clause
Some waitress who might conceal doctors,0,blimp,distractor_agreement_relative_clause
A driver that won't reveal a lot of cashiers,0,blimp,distractor_agreement_relative_clause
A pedestrian that worries a lot of adults,0,blimp,distractor_agreement_relative_clause
All actors that visit Sabrina,1,blimp,distractor_agreement_relative_clause
These guests who are discussing Kayla,1,blimp,distractor_agreement_relative_clause
Those hospitals that respect Naomi,1,blimp,distractor_agreement_relative_clause
A government that confuses some customers,0,blimp,distractor_agreement_relative_clause
Those hospitals that should bother Deborah,1,blimp,distractor_agreement_relative_clause
Those adults that scare Patricia,1,blimp,distractor_agreement_relative_clause
Those guys who were concealing Debra,1,blimp,distractor_agreement_relative_clause
The senators that saw that painting,1,blimp,distractor_agreement_relative_clause
All guys that haven't admired Todd,1,blimp,distractor_agreement_relative_clause
A cashier who hasn't respected those teenagers,0,blimp,distractor_agreement_relative_clause
The adult who was impressing the guys,0,blimp,distractor_agreement_relative_clause
The teachers who won't disagree with Danielle,1,blimp,distractor_agreement_relative_clause
Many universities that remember April,1,blimp,distractor_agreement_relative_clause
Every actor that disturbed these teenagers,0,blimp,distractor_agreement_relative_clause
Some schools that wouldn't shock Douglas,1,blimp,distractor_agreement_relative_clause
Ladies who haven't confused Randolf,1,blimp,distractor_agreement_relative_clause
A waiter that hasn't concealed the women,0,blimp,distractor_agreement_relative_clause
Many guests that don't explore every hospital,1,blimp,distractor_agreement_relative_clause
The boy that wasn't concealing the Clintons,0,blimp,distractor_agreement_relative_clause
A bird that wasn't embarrassing most dancers,0,blimp,distractor_agreement_relative_clause
The guy who can't conceal boys,0,blimp,distractor_agreement_relative_clause
The governments that had shocked every company,1,blimp,distractor_agreement_relative_clause
Some waiters who criticize Jane,1,blimp,distractor_agreement_relative_clause
This waitress that described some cashiers,0,blimp,distractor_agreement_relative_clause
