clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The aide laughed because,The man laughed because,703,344,0
The nurse laughed because,The man laughed because,703,344,0
The advocate ran because,The man ran because,703,344,0
The artist slept because,The man slept because,703,344,0
The actress drove because,The man drove because,703,344,0
The performer laughed because,The man laughed because,703,344,0
The administrator went home because,The woman went home because,344,703,1
The artist went home because,The man went home because,703,344,0
The footballer wanted that,The woman wanted that,344,703,1
The deputy ran because,The woman ran because,344,703,1
The politician yelled because,The woman yelled because,344,703,1
The prosecutor was fired because,The woman was fired because,344,703,1
The actor cried because,The woman cried because,344,703,1
The artist wanted that,The man wanted that,703,344,0
The therapist went home because,The man went home because,703,344,0
The dancer ran because,The man ran because,703,344,0
The teenager went home because,The man went home because,703,344,0
The consultant yelled that,The woman yelled that,344,703,1
The nun was promoted because,The man was promoted because,703,344,0
The photographer wished that,The man wished that,703,344,0
The advocate yelled that,The man yelled that,703,344,0
The economist yelled that,The woman yelled that,344,703,1
The actress stayed up because,The man stayed up because,703,344,0
The observer was promoted because,The man was promoted because,703,344,0
The artist ran because,The man ran because,703,344,0
The nun cried because,The man cried because,703,344,0
The actress cried because,The man cried because,703,344,0
The counselor was promoted because,The man was promoted because,703,344,0
The astronaut said that,The woman said that,344,703,1
The singer cried because,The man cried because,703,344,0
The substitute cried because,The man cried because,703,344,0
The aide cried because,The man cried because,703,344,0
The promoter wanted that,The woman wanted that,344,703,1
The cop was fired because,The woman was fired because,344,703,1
The warrior slept because,The woman slept because,344,703,1
The bishop ate because,The woman ate because,344,703,1
The columnist was fired because,The woman was fired because,344,703,1
The prisoner wanted that,The woman wanted that,344,703,1
The collector whispered that,The woman whispered that,344,703,1
The farmer stayed up because,The woman stayed up because,344,703,1
The secretary ate because,The man ate because,703,344,0
The farmer said that,The woman said that,344,703,1
The physicist stayed up because,The woman stayed up because,344,703,1
The maid desired that,The man desired that,703,344,0
The diplomat yelled that,The woman yelled that,344,703,1
The athlete cried because,The woman cried because,344,703,1
The soldier laughed because,The woman laughed because,344,703,1
The footballer ran because,The woman ran because,344,703,1
The philosopher yelled that,The woman yelled that,344,703,1
The clerk said that,The man said that,703,344,0
The poet wanted that,The man wanted that,703,344,0
The inspector ate because,The woman ate because,344,703,1
The critic yelled because,The woman yelled because,344,703,1
The singer drove because,The man drove because,703,344,0
The physician cried because,The woman cried because,344,703,1
The secretary yelled because,The man yelled because,703,344,0
The missionary ate because,The woman ate because,344,703,1
The tutor went home because,The man went home because,703,344,0
The nun ate because,The man ate because,703,344,0
The assassin cried because,The woman cried because,344,703,1
The attorney slept because,The woman slept because,344,703,1
The therapist wished that,The man wished that,703,344,0
The nurse yelled that,The man yelled that,703,344,0
The banker desired that,The woman desired that,344,703,1
The tutor wished that,The man wished that,703,344,0
The substitute stayed up because,The man stayed up because,703,344,0
The politician laughed because,The woman laughed because,344,703,1
The performer yelled that,The man yelled that,703,344,0
The clerk slept because,The man slept because,703,344,0
The broker desired that,The woman desired that,344,703,1
The policeman drove because,The woman drove because,344,703,1
The saint drove because,The woman drove because,344,703,1
The secretary slept because,The man slept because,703,344,0
The prisoner whispered that,The woman whispered that,344,703,1
The teacher was promoted because,The man was promoted because,703,344,0
The filmmaker wanted that,The woman wanted that,344,703,1
The president laughed because,The woman laughed because,344,703,1
The counselor whispered that,The man whispered that,703,344,0
The actress ran because,The man ran because,703,344,0
The advocate yelled because,The man yelled because,703,344,0
The architect yelled because,The woman yelled because,344,703,1
The businessman was fired because,The woman was fired because,344,703,1
The teacher desired that,The man desired that,703,344,0
The observer wanted that,The man wanted that,703,344,0
The tutor yelled that,The man yelled that,703,344,0
The teacher yelled because,The man yelled because,703,344,0
The investigator slept because,The woman slept because,344,703,1
The observer desired that,The man desired that,703,344,0
The teacher said that,The man said that,703,344,0
The waiter said that,The woman said that,344,703,1
The artist wished that,The man wished that,703,344,0
The commander yelled because,The woman yelled because,344,703,1
The manager said that,The woman said that,344,703,1
The performer said that,The man said that,703,344,0
The sailor cried because,The woman cried because,344,703,1
The performer was fired because,The man was fired because,703,344,0
The actress went home because,The man went home because,703,344,0
The teacher whispered that,The man whispered that,703,344,0
The butcher desired that,The woman desired that,344,703,1
The photographer said that,The man said that,703,344,0
The editor yelled because,The woman yelled because,344,703,1
The pastor wanted that,The woman wanted that,344,703,1
The sailor yelled that,The woman yelled that,344,703,1
The aide ran because,The man ran because,703,344,0
The officer laughed because,The woman laughed because,344,703,1
The psychiatrist desired that,The man desired that,703,344,0
The promoter slept because,The woman slept because,344,703,1
The dancer was promoted because,The man was promoted because,703,344,0
The analyst was promoted because,The woman was promoted because,344,703,1
The secretary whispered that,The man whispered that,703,344,0
The observer ran because,The man ran because,703,344,0
The psychiatrist laughed because,The man laughed because,703,344,0
The economist wished that,The woman wished that,344,703,1
The teacher stayed up because,The man stayed up because,703,344,0
The singer ran because,The man ran because,703,344,0
The tutor ran because,The man ran because,703,344,0
The tutor drove because,The man drove because,703,344,0
The journalist desired that,The woman desired that,344,703,1
The painter went home because,The woman went home because,344,703,1
The inventor went home because,The woman went home because,344,703,1
The chef stayed up because,The woman stayed up because,344,703,1
The pastor whispered that,The woman whispered that,344,703,1
The therapist stayed up because,The man stayed up because,703,344,0
The researcher ran because,The woman ran because,344,703,1
The composer ate because,The woman ate because,344,703,1
The promoter laughed because,The woman laughed because,344,703,1
The artist was promoted because,The man was promoted because,703,344,0
The sailor went home because,The woman went home because,344,703,1
The nurse desired that,The man desired that,703,344,0
The lieutenant stayed up because,The woman stayed up because,344,703,1
The senator drove because,The woman drove because,344,703,1
The medic yelled because,The woman yelled because,344,703,1
The judge ate because,The woman ate because,344,703,1
The maid cried because,The man cried because,703,344,0
The actress was fired because,The man was fired because,703,344,0
The consultant desired that,The woman desired that,344,703,1
The broker cried because,The woman cried because,344,703,1
The soldier said that,The woman said that,344,703,1
The poet slept because,The man slept because,703,344,0
The lieutenant drove because,The woman drove because,344,703,1
The maid drove because,The man drove because,703,344,0
The chancellor yelled because,The woman yelled because,344,703,1
The aide wished that,The man wished that,703,344,0
The instructor went home because,The man went home because,703,344,0
The advocate slept because,The man slept because,703,344,0
The therapist ran because,The man ran because,703,344,0
The physician laughed because,The woman laughed because,344,703,1
The medic ate because,The woman ate because,344,703,1
The clerk was promoted because,The man was promoted because,703,344,0
The poet went home because,The man went home because,703,344,0
The poet wished that,The man wished that,703,344,0
The doctor went home because,The woman went home because,344,703,1
The ambassador wished that,The woman wished that,344,703,1
The poet laughed because,The man laughed because,703,344,0
The trader ate because,The woman ate because,344,703,1
The journalist yelled because,The woman yelled because,344,703,1
The instructor ate because,The man ate because,703,344,0
The journalist ate because,The woman ate because,344,703,1
The pastor was fired because,The woman was fired because,344,703,1
The instructor yelled because,The man yelled because,703,344,0
The waiter laughed because,The woman laughed because,344,703,1
The protagonist ran because,The woman ran because,344,703,1
The chancellor was fired because,The woman was fired because,344,703,1
The economist drove because,The woman drove because,344,703,1
The narrator wished that,The woman wished that,344,703,1
The sailor yelled because,The woman yelled because,344,703,1
The clerk was fired because,The man was fired because,703,344,0
The instructor was fired because,The man was fired because,703,344,0
The programmer yelled because,The woman yelled because,344,703,1
The dancer wanted that,The man wanted that,703,344,0
The poet was fired because,The man was fired because,703,344,0
The saint yelled because,The woman yelled because,344,703,1
The pastor ran because,The woman ran because,344,703,1
The judge said that,The woman said that,344,703,1
The sergeant cried because,The woman cried because,344,703,1
The counselor ate because,The man ate because,703,344,0
The teenager cried because,The man cried because,703,344,0
The tutor whispered that,The man whispered that,703,344,0
The therapist said that,The man said that,703,344,0
The counselor yelled that,The man yelled that,703,344,0
The principal went home because,The woman went home because,344,703,1
The aide ate because,The man ate because,703,344,0
The medic stayed up because,The woman stayed up because,344,703,1
The clerk whispered that,The man whispered that,703,344,0
The boss wished that,The woman wished that,344,703,1
The boss desired that,The woman desired that,344,703,1
The therapist drove because,The man drove because,703,344,0
The teacher went home because,The man went home because,703,344,0
The inspector laughed because,The woman laughed because,344,703,1
The secretary wished that,The man wished that,703,344,0
The advocate laughed because,The man laughed because,703,344,0
The chancellor wanted that,The woman wanted that,344,703,1
The observer drove because,The man drove because,703,344,0
The guitarist desired that,The woman desired that,344,703,1
The mechanic was promoted because,The woman was promoted because,344,703,1
The maid ran because,The man ran because,703,344,0
The nurse was fired because,The man was fired because,703,344,0
The actress said that,The man said that,703,344,0
The investigator cried because,The woman cried because,344,703,1
The manager wanted that,The woman wanted that,344,703,1
The actress yelled because,The man yelled because,703,344,0
The substitute went home because,The man went home because,703,344,0
The secretary wanted that,The man wanted that,703,344,0
The aide slept because,The man slept because,703,344,0
The commentator ran because,The woman ran because,344,703,1
The performer cried because,The man cried because,703,344,0
The assassin said that,The woman said that,344,703,1
The teenager laughed because,The man laughed because,703,344,0
The tutor slept because,The man slept because,703,344,0
The conductor slept because,The woman slept because,344,703,1
The preacher cried because,The woman cried because,344,703,1
The journalist was fired because,The woman was fired because,344,703,1
The ambassador ate because,The woman ate because,344,703,1
The commentator whispered that,The woman whispered that,344,703,1
The photographer cried because,The man cried because,703,344,0
The clerk ran because,The man ran because,703,344,0
The artist yelled that,The man yelled that,703,344,0
The performer wished that,The man wished that,703,344,0
The secretary stayed up because,The man stayed up because,703,344,0
The observer stayed up because,The man stayed up because,703,344,0
The secretary said that,The man said that,703,344,0
The secretary desired that,The man desired that,703,344,0
The secretary drove because,The man drove because,703,344,0
The teacher was fired because,The man was fired because,703,344,0
The teenager desired that,The man desired that,703,344,0
The teenager said that,The man said that,703,344,0
The astronaut was fired because,The woman was fired because,344,703,1
The banker said that,The woman said that,344,703,1
The ambassador whispered that,The woman whispered that,344,703,1
The missionary said that,The woman said that,344,703,1
The banker went home because,The woman went home because,344,703,1
The chancellor desired that,The woman desired that,344,703,1
The author desired that,The woman desired that,344,703,1
The psychiatrist ate because,The man ate because,703,344,0
The manager slept because,The woman slept because,344,703,1
The scientist desired that,The woman desired that,344,703,1
The director yelled because,The woman yelled because,344,703,1
The psychiatrist whispered that,The man whispered that,703,344,0
The guitarist ate because,The woman ate because,344,703,1
The nurse slept because,The man slept because,703,344,0
The editor whispered that,The woman whispered that,344,703,1
The filmmaker stayed up because,The woman stayed up because,344,703,1
The photographer ate because,The man ate because,703,344,0
The advocate cried because,The man cried because,703,344,0
The clerk yelled that,The man yelled that,703,344,0
The colonel was fired because,The woman was fired because,344,703,1
The entrepreneur ate because,The woman ate because,344,703,1
The singer laughed because,The man laughed because,703,344,0
The worker ran because,The woman ran because,344,703,1
The singer desired that,The man desired that,703,344,0
The maid was fired because,The man was fired because,703,344,0
The dancer was fired because,The man was fired because,703,344,0
The conductor yelled because,The woman yelled because,344,703,1
The aide was fired because,The man was fired because,703,344,0
The teenager wanted that,The man wanted that,703,344,0
The farmer wanted that,The woman wanted that,344,703,1
The substitute was fired because,The man was fired because,703,344,0
The architect went home because,The woman went home because,344,703,1
The investigator ate because,The woman ate because,344,703,1
The nurse ran because,The man ran because,703,344,0
The commander yelled that,The woman yelled that,344,703,1
The tutor stayed up because,The man stayed up because,703,344,0
The scholar ran because,The woman ran because,344,703,1
The painter was fired because,The woman was fired because,344,703,1
The butcher drove because,The woman drove because,344,703,1
The psychiatrist yelled that,The man yelled that,703,344,0
The photographer stayed up because,The man stayed up because,703,344,0
The narrator was promoted because,The woman was promoted because,344,703,1
The photographer wanted that,The man wanted that,703,344,0
The lieutenant ran because,The woman ran because,344,703,1
The investigator wished that,The woman wished that,344,703,1
The advocate whispered that,The man whispered that,703,344,0
The dancer went home because,The man went home because,703,344,0
The officer was promoted because,The woman was promoted because,344,703,1
The actress was promoted because,The man was promoted because,703,344,0
The dancer yelled because,The man yelled because,703,344,0
The narrator said that,The woman said that,344,703,1
The secretary ran because,The man ran because,703,344,0
The instructor yelled that,The man yelled that,703,344,0
The psychiatrist stayed up because,The man stayed up because,703,344,0
The teenager was promoted because,The man was promoted because,703,344,0
The worker drove because,The woman drove because,344,703,1
The author wished that,The woman wished that,344,703,1
The prosecutor was promoted because,The woman was promoted because,344,703,1
The worker whispered that,The woman whispered that,344,703,1
The director wanted that,The woman wanted that,344,703,1
The superintendent drove because,The woman drove because,344,703,1
The artist cried because,The man cried because,703,344,0
The lawyer cried because,The woman cried because,344,703,1
The photographer laughed because,The man laughed because,703,344,0
