sentence,label,group,source
The authors next to the guards,1,ML,prep_anim_all
The authors next to the chefs,1,ML,prep_anim_all
The authors next to the architects,1,ML,prep_anim_all
The authors next to the skaters,1,ML,prep_anim_all
The authors next to the dancers,1,ML,prep_anim_all
The authors next to the ministers,1,ML,prep_anim_all
The authors next to the taxi drivers,1,ML,prep_anim_all
The authors next to the assistants,1,ML,prep_anim_all
The authors next to the executives,1,ML,prep_anim_all
The authors next to the parents,1,ML,prep_anim_all
The authors behind the guards,1,ML,prep_anim_all
The authors behind the chefs,1,ML,prep_anim_all
The authors behind the architects,1,ML,prep_anim_all
The authors behind the skaters,1,ML,prep_anim_all
The authors behind the dancers,1,ML,prep_anim_all
The authors behind the ministers,1,ML,prep_anim_all
The authors behind the taxi drivers,1,ML,prep_anim_all
The authors behind the assistants,1,ML,prep_anim_all
The authors behind the executives,1,ML,prep_anim_all
The authors behind the parents,1,ML,prep_anim_all
The authors in front of the guards,1,ML,prep_anim_all
The authors in front of the chefs,1,ML,prep_anim_all
The authors in front of the architects,1,ML,prep_anim_all
The authors in front of the skaters,1,ML,prep_anim_all
The authors in front of the dancers,1,ML,prep_anim_all
The authors in front of the ministers,1,ML,prep_anim_all
The authors in front of the taxi drivers,1,ML,prep_anim_all
The authors in front of the assistants,1,ML,prep_anim_all
The authors in front of the executives,1,ML,prep_anim_all
The authors in front of the parents,1,ML,prep_anim_all
The authors near the guards,1,ML,prep_anim_all
The authors near the chefs,1,ML,prep_anim_all
The authors near the architects,1,ML,prep_anim_all
The authors near the skaters,1,ML,prep_anim_all
The authors near the dancers,1,ML,prep_anim_all
The authors near the ministers,1,ML,prep_anim_all
The authors near the taxi drivers,1,ML,prep_anim_all
The authors near the assistants,1,ML,prep_anim_all
The authors near the executives,1,ML,prep_anim_all
The authors near the parents,1,ML,prep_anim_all
The authors to the side of the guards,1,ML,prep_anim_all
The authors to the side of the chefs,1,ML,prep_anim_all
The authors to the side of the architects,1,ML,prep_anim_all
The authors to the side of the skaters,1,ML,prep_anim_all
The authors to the side of the dancers,1,ML,prep_anim_all
The authors to the side of the ministers,1,ML,prep_anim_all
The authors to the side of the taxi drivers,1,ML,prep_anim_all
The authors to the side of the assistants,1,ML,prep_anim_all
The authors to the side of the executives,1,ML,prep_anim_all
The authors to the side of the parents,1,ML,prep_anim_all
The authors across from the guards,1,ML,prep_anim_all
The authors across from the chefs,1,ML,prep_anim_all
The authors across from the architects,1,ML,prep_anim_all
The authors across from the skaters,1,ML,prep_anim_all
The authors across from the dancers,1,ML,prep_anim_all
The authors across from the ministers,1,ML,prep_anim_all
The authors across from the taxi drivers,1,ML,prep_anim_all
The authors across from the assistants,1,ML,prep_anim_all
The authors across from the executives,1,ML,prep_anim_all
The authors across from the parents,1,ML,prep_anim_all
The pilots next to the guards,1,ML,prep_anim_all
The pilots next to the chefs,1,ML,prep_anim_all
The pilots next to the architects,1,ML,prep_anim_all
The pilots next to the skaters,1,ML,prep_anim_all
The pilots next to the dancers,1,ML,prep_anim_all
The pilots next to the ministers,1,ML,prep_anim_all
The pilots next to the taxi drivers,1,ML,prep_anim_all
The pilots next to the assistants,1,ML,prep_anim_all
The pilots next to the executives,1,ML,prep_anim_all
The pilots next to the parents,1,ML,prep_anim_all
The pilots behind the guards,1,ML,prep_anim_all
The pilots behind the chefs,1,ML,prep_anim_all
The pilots behind the architects,1,ML,prep_anim_all
The pilots behind the skaters,1,ML,prep_anim_all
The pilots behind the dancers,1,ML,prep_anim_all
The pilots behind the ministers,1,ML,prep_anim_all
The pilots behind the taxi drivers,1,ML,prep_anim_all
The pilots behind the assistants,1,ML,prep_anim_all
The pilots behind the executives,1,ML,prep_anim_all
The pilots behind the parents,1,ML,prep_anim_all
The pilots in front of the guards,1,ML,prep_anim_all
The pilots in front of the chefs,1,ML,prep_anim_all
The pilots in front of the architects,1,ML,prep_anim_all
The pilots in front of the skaters,1,ML,prep_anim_all
The pilots in front of the dancers,1,ML,prep_anim_all
The pilots in front of the ministers,1,ML,prep_anim_all
The pilots in front of the taxi drivers,1,ML,prep_anim_all
The pilots in front of the assistants,1,ML,prep_anim_all
The pilots in front of the executives,1,ML,prep_anim_all
