sentence,label,group,source
The authors that the guards like,1,ML,obj_rel_across_anim_all
The authors that the guards admire,1,ML,obj_rel_across_anim_all
The authors that the guards hate,1,ML,obj_rel_across_anim_all
The authors that the guards love,1,ML,obj_rel_across_anim_all
The authors that the chefs like,1,ML,obj_rel_across_anim_all
The authors that the chefs admire,1,ML,obj_rel_across_anim_all
The authors that the chefs hate,1,ML,obj_rel_across_anim_all
The authors that the chefs love,1,ML,obj_rel_across_anim_all
The authors that the architects like,1,ML,obj_rel_across_anim_all
The authors that the architects admire,1,ML,obj_rel_across_anim_all
The authors that the architects hate,1,ML,obj_rel_across_anim_all
The authors that the architects love,1,ML,obj_rel_across_anim_all
The authors that the skaters like,1,ML,obj_rel_across_anim_all
The authors that the skaters admire,1,ML,obj_rel_across_anim_all
The authors that the skaters hate,1,ML,obj_rel_across_anim_all
The authors that the skaters love,1,ML,obj_rel_across_anim_all
The authors that the dancers like,1,ML,obj_rel_across_anim_all
The authors that the dancers admire,1,ML,obj_rel_across_anim_all
The authors that the dancers hate,1,ML,obj_rel_across_anim_all
The authors that the dancers love,1,ML,obj_rel_across_anim_all
The authors that the ministers like,1,ML,obj_rel_across_anim_all
The authors that the ministers admire,1,ML,obj_rel_across_anim_all
The authors that the ministers hate,1,ML,obj_rel_across_anim_all
The authors that the ministers love,1,ML,obj_rel_across_anim_all
The authors that the taxi drivers like,1,ML,obj_rel_across_anim_all
The authors that the taxi drivers admire,1,ML,obj_rel_across_anim_all
The authors that the taxi drivers hate,1,ML,obj_rel_across_anim_all
The authors that the taxi drivers love,1,ML,obj_rel_across_anim_all
The authors that the assistants like,1,ML,obj_rel_across_anim_all
The authors that the assistants admire,1,ML,obj_rel_across_anim_all
The authors that the assistants hate,1,ML,obj_rel_across_anim_all
The authors that the assistants love,1,ML,obj_rel_across_anim_all
The authors that the executives like,1,ML,obj_rel_across_anim_all
The authors that the executives admire,1,ML,obj_rel_across_anim_all
The authors that the executives hate,1,ML,obj_rel_across_anim_all
