,clean,corrupted,group,plural
0,The author that likes the guard,The authors that like the guard,ML-subj_rel_all,0
1,The author that likes the chef,The authors that like the chef,ML-subj_rel_all,0
2,The author that likes the architect,The authors that like the architect,ML-subj_rel_all,0
3,The author that likes the skater,The authors that like the skater,ML-subj_rel_all,0
4,The author that likes the dancer,The authors that like the dancer,ML-subj_rel_all,0
5,The author that likes the minister,The authors that like the minister,ML-subj_rel_all,0
6,The author that likes the taxi driver,The authors that like the taxi driver,ML-subj_rel_all,0
7,The author that likes the assistant,The authors that like the assistant,ML-subj_rel_all,0
8,The author that likes the executive,The authors that like the executive,ML-subj_rel_all,0
9,The author that likes the parent,The authors that like the parent,ML-subj_rel_all,0
10,The author that hates the guard,The authors that hate the guard,ML-subj_rel_all,0
11,The author that hates the chef,The authors that hate the chef,ML-subj_rel_all,0
12,The author that hates the architect,The authors that hate the architect,ML-subj_rel_all,0
13,The author that hates the skater,The authors that hate the skater,ML-subj_rel_all,0
14,The author that hates the dancer,The authors that hate the dancer,ML-subj_rel_all,0
15,The author that hates the minister,The authors that hate the minister,ML-subj_rel_all,0
16,The author that hates the taxi driver,The authors that hate the taxi driver,ML-subj_rel_all,0
17,The author that hates the assistant,The authors that hate the assistant,ML-subj_rel_all,0
18,The author that hates the executive,The authors that hate the executive,ML-subj_rel_all,0
19,The author that hates the parent,The authors that hate the parent,ML-subj_rel_all,0
20,The author that loves the guard,The authors that love the guard,ML-subj_rel_all,0
21,The author that loves the chef,The authors that love the chef,ML-subj_rel_all,0
22,The author that loves the architect,The authors that love the architect,ML-subj_rel_all,0
23,The author that loves the skater,The authors that love the skater,ML-subj_rel_all,0
24,The author that loves the dancer,The authors that love the dancer,ML-subj_rel_all,0
25,The author that loves the minister,The authors that love the minister,ML-subj_rel_all,0
26,The author that loves the taxi driver,The authors that love the taxi driver,ML-subj_rel_all,0
27,The author that loves the assistant,The authors that love the assistant,ML-subj_rel_all,0
28,The author that loves the executive,The authors that love the executive,ML-subj_rel_all,0
29,The author that loves the parent,The authors that love the parent,ML-subj_rel_all,0
30,The pilot that likes the guard,The pilots that like the guard,ML-subj_rel_all,0
31,The pilot that likes the chef,The pilots that like the chef,ML-subj_rel_all,0
32,The pilot that likes the architect,The pilots that like the architect,ML-subj_rel_all,0
33,The pilot that likes the skater,The pilots that like the skater,ML-subj_rel_all,0
