clean,corrupted,group,plural
The poems that the executives admire,The poem that the executives admire,ML-obj_rel_across_inanim_all,1
The novel by the parent,The novels by the parent,ML-prep_inanim_all,0
The books the executives,The books the executive,ML-obj_rel_no_comp_within_inanim_all,1
The games by the parent,The game by the parent,ML-prep_inanim_all,1
The manager in front of the skater,The managers in front of the skater,ML-prep_anim_all,0
The songs by the taxi driver,The song by the taxi driver,ML-prep_inanim_all,1
The author that the dancer loves,The authors that the dancer loves,ML-obj_rel_across_anim_all,0
The mechanic thought the farmer,The mechanic thought the farmers,ML-sent_comp_all,0
The mechanics thought the customer,The mechanics thought the customers,ML-sent_comp_all,0
The games from the minister,The game from the minister,ML-prep_inanim_all,1
The novels the architect admires,The novel the architect admires,ML-obj_rel_no_comp_across_inanim_all,1
The mechanics said the farmers,The mechanics said the farmer,ML-sent_comp_all,1
The senator next to the executives,The senators next to the executives,ML-prep_anim_all,0
The officer the minister loves,The officers the minister loves,ML-obj_rel_no_comp_across_anim_all,0
The books from the chef,The book from the chef,ML-prep_inanim_all,1
The surgeon next to the parent,The surgeons next to the parent,ML-prep_anim_all,0
The customers the guards admire,The customer the guards admire,ML-obj_rel_no_comp_across_anim_all,1
The farmers that like the assistants,The farmer that likes the assistants,ML-subj_rel_all,1
The customers to the side of the dancer,The customer to the side of the dancer,ML-prep_anim_all,1
The author that the dancers hate,The authors that the dancers hate,ML-obj_rel_across_anim_all,0
The song that the dancers love,The songs that the dancers love,ML-obj_rel_across_inanim_all,0
The game that the guards,The game that the guard,ML-obj_rel_within_inanim_all,1
The managers that the taxi drivers like,The manager that the taxi drivers like,ML-obj_rel_across_anim_all,1
The consultants next to the parents,The consultant next to the parents,ML-prep_anim_all,1
The pilots the parent loves,The pilot the parent loves,ML-obj_rel_no_comp_across_anim_all,1
The senator the guard hates,The senators the guard hates,ML-obj_rel_no_comp_across_anim_all,0
The officers that the guards like,The officer that the guards like,ML-obj_rel_across_anim_all,1
The books the architect likes,The book the architect likes,ML-obj_rel_no_comp_across_inanim_all,1
The senators that like the parent,The senator that likes the parent,ML-subj_rel_all,1
The senators that the skaters hate,The senator that the skaters hate,ML-obj_rel_across_anim_all,1
The managers that the skaters hate,The manager that the skaters hate,ML-obj_rel_across_anim_all,1
The customer that the executives hate,The customers that the executives hate,ML-obj_rel_across_anim_all,0
The poem that the dancers,The poem that the dancer,ML-obj_rel_within_inanim_all,1
The authors that the taxi driver loves,The author that the taxi driver loves,ML-obj_rel_across_anim_all,1
The author near the architect,The authors near the architect,ML-prep_anim_all,0
The pilot the dancers hate,The pilots the dancers hate,ML-obj_rel_no_comp_across_anim_all,0
The farmers to the side of the architects,The farmer to the side of the architects,ML-prep_anim_all,1
The teachers that like the assistants,The teacher that likes the assistants,ML-subj_rel_all,1
The teachers in front of the dancers,The teacher in front of the dancers,ML-prep_anim_all,1
The officers that like the guard,The officer that likes the guard,ML-subj_rel_all,1
The shows that the guards like,The show that the guards like,ML-obj_rel_across_inanim_all,1
The senators that the taxi drivers admire,The senator that the taxi drivers admire,ML-obj_rel_across_anim_all,1
The managers that the architect hates,The manager that the architect hates,ML-obj_rel_across_anim_all,1
The surgeons the taxi drivers like,The surgeon the taxi drivers like,ML-obj_rel_no_comp_across_anim_all,1
The senators like to watch television shows and,The senator likes to watch television shows and,ML-long_vp_coord_all,1
The officer the taxi drivers like,The officers the taxi drivers like,ML-obj_rel_no_comp_across_anim_all,0
The teacher that likes the parent,The teachers that like the parent,ML-subj_rel_all,0
The author that the parents admire,The authors that the parents admire,ML-obj_rel_across_anim_all,0
The authors to the side of the parents,The author to the side of the parents,ML-prep_anim_all,1
The pictures that the dancers love,The picture that the dancers love,ML-obj_rel_across_inanim_all,1
The manager laughs and,The managers laugh and,ML-vp_coord_all,0
The authors the executive loves,The author the executive loves,ML-obj_rel_no_comp_across_anim_all,1
The manager in front of the minister,The managers in front of the minister,ML-prep_anim_all,0
The poem that the architect admires,The poems that the architect admires,ML-obj_rel_across_inanim_all,0
The movie the guard likes,The movies the guard likes,ML-obj_rel_no_comp_across_inanim_all,0
The novels the chef,The novels the chefs,ML-obj_rel_no_comp_within_inanim_all,0
The farmer next to the chef,The farmers next to the chef,ML-prep_anim_all,0
The book that the parent likes,The books that the parent likes,ML-obj_rel_across_inanim_all,0
The consultant behind the dancers,The consultants behind the dancers,ML-prep_anim_all,0
The manager in front of the executive,The managers in front of the executive,ML-prep_anim_all,0
The songs the assistant,The songs the assistants,ML-obj_rel_no_comp_within_inanim_all,0
The farmer the executives like,The farmers the executives like,ML-obj_rel_no_comp_across_anim_all,0
The movies the skater likes,The movie the skater likes,ML-obj_rel_no_comp_across_inanim_all,1
The customers the parents hate,The customer the parents hate,ML-obj_rel_no_comp_across_anim_all,1
The pilots next to the dancers,The pilot next to the dancers,ML-prep_anim_all,1
The officers across from the ministers,The officer across from the ministers,ML-prep_anim_all,1
The farmer that the guard loves,The farmers that the guard loves,ML-obj_rel_across_anim_all,0
The senator that likes the parent,The senators that like the parent,ML-subj_rel_all,0
The surgeon that the minister admires,The surgeons that the minister admires,ML-obj_rel_across_anim_all,0
The teacher the taxi drivers hate,The teachers the taxi drivers hate,ML-obj_rel_no_comp_across_anim_all,0
The surgeons know many different foreign languages and,The surgeon knows many different foreign languages and,ML-long_vp_coord_all,1
The surgeon that the architect,The surgeon that the architects,ML-obj_rel_within_anim_all,0
The show the guard loves,The shows the guard loves,ML-obj_rel_no_comp_across_inanim_all,0
The picture the architects,The picture the architect,ML-obj_rel_no_comp_within_inanim_all,1
The pilots that the architect likes,The pilot that the architect likes,ML-obj_rel_across_anim_all,1
The picture that the guards love,The pictures that the guards love,ML-obj_rel_across_inanim_all,0
The managers the chefs love,The manager the chefs love,ML-obj_rel_no_comp_across_anim_all,1
The books that the taxi drivers hate,The book that the taxi drivers hate,ML-obj_rel_across_inanim_all,1
The senators the guard likes,The senator the guard likes,ML-obj_rel_no_comp_across_anim_all,1
The book by the assistant,The books by the assistant,ML-prep_inanim_all,0
The picture that the assistant likes,The pictures that the assistant likes,ML-obj_rel_across_inanim_all,0
The game that the architect likes,The games that the architect likes,ML-obj_rel_across_inanim_all,0
The game the assistants,The game the assistant,ML-obj_rel_no_comp_within_inanim_all,1
The game by the guard,The games by the guard,ML-prep_inanim_all,0
The game that the executive loves,The games that the executive loves,ML-obj_rel_across_inanim_all,0
The game that the architects hate,The games that the architects hate,ML-obj_rel_across_inanim_all,0
The poem that the assistants hate,The poems that the assistants hate,ML-obj_rel_across_inanim_all,0
The customer that the dancer,The customer that the dancers,ML-obj_rel_within_anim_all,0
The senator behind the assistant,The senators behind the assistant,ML-prep_anim_all,0
The customers that the assistants love,The customer that the assistants love,ML-obj_rel_across_anim_all,1
The picture the guards admire,The pictures the guards admire,ML-obj_rel_no_comp_across_inanim_all,0
The manager next to the architects,The managers next to the architects,ML-prep_anim_all,0
The farmers that the executives admire,The farmer that the executives admire,ML-obj_rel_across_anim_all,1
The customer that the parent loves,The customers that the parent loves,ML-obj_rel_across_anim_all,0
The authors the parent loves,The author the parent loves,ML-obj_rel_no_comp_across_anim_all,1
The poem that the skaters admire,The poems that the skaters admire,ML-obj_rel_across_inanim_all,0
The consultants that the dancer loves,The consultant that the dancer loves,ML-obj_rel_across_anim_all,1
The author that the architects hate,The authors that the architects hate,ML-obj_rel_across_anim_all,0
