sentence,label,group,source
Those radii,1,blimp,irregular_plural_subject_verb_agreement_1
This goose,0,blimp,irregular_plural_subject_verb_agreement_1
The axes,1,blimp,irregular_plural_subject_verb_agreement_1
The radius,0,blimp,irregular_plural_subject_verb_agreement_1
All hypotheses,1,blimp,irregular_plural_subject_verb_agreement_1
That woman,0,blimp,irregular_plural_subject_verb_agreement_1
An alumnus,0,blimp,irregular_plural_subject_verb_agreement_1
The people,1,blimp,irregular_plural_subject_verb_agreement_1
These hypotheses,1,blimp,irregular_plural_subject_verb_agreement_1
Men,1,blimp,irregular_plural_subject_verb_agreement_1
All radii,1,blimp,irregular_plural_subject_verb_agreement_1
Some parentheses,1,blimp,irregular_plural_subject_verb_agreement_1
Some analyses,1,blimp,irregular_plural_subject_verb_agreement_1
Many people,1,blimp,irregular_plural_subject_verb_agreement_1
Mice,1,blimp,irregular_plural_subject_verb_agreement_1
Hypotheses,1,blimp,irregular_plural_subject_verb_agreement_1
A lot of men,1,blimp,irregular_plural_subject_verb_agreement_1
A diagnosis,0,blimp,irregular_plural_subject_verb_agreement_1
Many hypotheses,1,blimp,irregular_plural_subject_verb_agreement_1
An ox,0,blimp,irregular_plural_subject_verb_agreement_1
Most women,1,blimp,irregular_plural_subject_verb_agreement_1
This woman,0,blimp,irregular_plural_subject_verb_agreement_1
This diagnosis,0,blimp,irregular_plural_subject_verb_agreement_1
The alumni,1,blimp,irregular_plural_subject_verb_agreement_1
These media,1,blimp,irregular_plural_subject_verb_agreement_1
Some crises,1,blimp,irregular_plural_subject_verb_agreement_1
Those mice,1,blimp,irregular_plural_subject_verb_agreement_1
Those crises,1,blimp,irregular_plural_subject_verb_agreement_1
The octopi,1,blimp,irregular_plural_subject_verb_agreement_1
All children,1,blimp,irregular_plural_subject_verb_agreement_1
Some radii,1,blimp,irregular_plural_subject_verb_agreement_1
A lot of children,1,blimp,irregular_plural_subject_verb_agreement_1
A lot of synopses,1,blimp,irregular_plural_subject_verb_agreement_1
The ox,0,blimp,irregular_plural_subject_verb_agreement_1
A parenthesis,0,blimp,irregular_plural_subject_verb_agreement_1
Some analysis,0,blimp,irregular_plural_subject_verb_agreement_1
This hypothesis,0,blimp,irregular_plural_subject_verb_agreement_1
Every ox,0,blimp,irregular_plural_subject_verb_agreement_1
A lot of bases,1,blimp,irregular_plural_subject_verb_agreement_1
The hypothesis,0,blimp,irregular_plural_subject_verb_agreement_1
A lot of lice,1,blimp,irregular_plural_subject_verb_agreement_1
Feet,1,blimp,irregular_plural_subject_verb_agreement_1
Every cactus,0,blimp,irregular_plural_subject_verb_agreement_1
A paralysis,0,blimp,irregular_plural_subject_verb_agreement_1
Many teeth,1,blimp,irregular_plural_subject_verb_agreement_1
Every crisis,0,blimp,irregular_plural_subject_verb_agreement_1
Many phenomena,1,blimp,irregular_plural_subject_verb_agreement_1
This person,0,blimp,irregular_plural_subject_verb_agreement_1
Some geese,1,blimp,irregular_plural_subject_verb_agreement_1
All oases,1,blimp,irregular_plural_subject_verb_agreement_1
These oxen,1,blimp,irregular_plural_subject_verb_agreement_1
Every tooth,0,blimp,irregular_plural_subject_verb_agreement_1
The fungi,1,blimp,irregular_plural_subject_verb_agreement_1
The stimuli,1,blimp,irregular_plural_subject_verb_agreement_1
This man,0,blimp,irregular_plural_subject_verb_agreement_1
All oxen,1,blimp,irregular_plural_subject_verb_agreement_1
Most stimuli,1,blimp,irregular_plural_subject_verb_agreement_1
