sentence,label,group,source
The authors know many different foreign languages and,1,ML,long_vp_coord_all
The authors like to watch television shows and,1,ML,long_vp_coord_all
The authors are twenty three years old and,1,ML,long_vp_coord_all
The authors enjoy playing tennis with colleagues and,1,ML,long_vp_coord_all
The authors write in a journal every day and,1,ML,long_vp_coord_all
The pilots know many different foreign languages and,1,ML,long_vp_coord_all
The pilots like to watch television shows and,1,ML,long_vp_coord_all
The pilots are twenty three years old and,1,ML,long_vp_coord_all
The pilots enjoy playing tennis with colleagues and,1,ML,long_vp_coord_all
The pilots write in a journal every day and,1,ML,long_vp_coord_all
The surgeons know many different foreign languages and,1,ML,long_vp_coord_all
The surgeons like to watch television shows and,1,ML,long_vp_coord_all
The surgeons are twenty three years old and,1,ML,long_vp_coord_all
The surgeons enjoy playing tennis with colleagues and,1,ML,long_vp_coord_all
The surgeons write in a journal every day and,1,ML,long_vp_coord_all
The farmers know many different foreign languages and,1,ML,long_vp_coord_all
The farmers like to watch television shows and,1,ML,long_vp_coord_all
The farmers are twenty three years old and,1,ML,long_vp_coord_all
The farmers enjoy playing tennis with colleagues and,1,ML,long_vp_coord_all
The farmers write in a journal every day and,1,ML,long_vp_coord_all
The managers know many different foreign languages and,1,ML,long_vp_coord_all
The managers like to watch television shows and,1,ML,long_vp_coord_all
The managers are twenty three years old and,1,ML,long_vp_coord_all
The managers enjoy playing tennis with colleagues and,1,ML,long_vp_coord_all
The managers write in a journal every day and,1,ML,long_vp_coord_all
The customers know many different foreign languages and,1,ML,long_vp_coord_all
The customers like to watch television shows and,1,ML,long_vp_coord_all
The customers are twenty three years old and,1,ML,long_vp_coord_all
The customers enjoy playing tennis with colleagues and,1,ML,long_vp_coord_all
The customers write in a journal every day and,1,ML,long_vp_coord_all
The officers know many different foreign languages and,1,ML,long_vp_coord_all
The officers like to watch television shows and,1,ML,long_vp_coord_all
The officers are twenty three years old and,1,ML,long_vp_coord_all
The officers enjoy playing tennis with colleagues and,1,ML,long_vp_coord_all
