sentence,label,group,source
The mechanics said the authors,1,ML,sent_comp_all
The mechanics said the pilots,1,ML,sent_comp_all
The mechanics said the surgeons,1,ML,sent_comp_all
The mechanics said the farmers,1,ML,sent_comp_all
The mechanics said the managers,1,ML,sent_comp_all
The mechanics said the customers,1,ML,sent_comp_all
The mechanics said the officers,1,ML,sent_comp_all
The mechanics said the teachers,1,ML,sent_comp_all
The mechanics said the senators,1,ML,sent_comp_all
The mechanics said the consultants,1,ML,sent_comp_all
The mechanics thought the authors,1,ML,sent_comp_all
The mechanics thought the pilots,1,ML,sent_comp_all
The mechanics thought the surgeons,1,ML,sent_comp_all
The mechanics thought the farmers,1,ML,sent_comp_all
The mechanics thought the managers,1,ML,sent_comp_all
The mechanics thought the customers,1,ML,sent_comp_all
The mechanics thought the officers,1,ML,sent_comp_all
The mechanics thought the teachers,1,ML,sent_comp_all
The mechanics thought the senators,1,ML,sent_comp_all
The mechanics thought the consultants,1,ML,sent_comp_all
The mechanics knew the authors,1,ML,sent_comp_all
The mechanics knew the pilots,1,ML,sent_comp_all
The mechanics knew the surgeons,1,ML,sent_comp_all
The mechanics knew the farmers,1,ML,sent_comp_all
The mechanics knew the managers,1,ML,sent_comp_all
The mechanics knew the customers,1,ML,sent_comp_all
The mechanics knew the officers,1,ML,sent_comp_all
The mechanics knew the teachers,1,ML,sent_comp_all
The mechanics knew the senators,1,ML,sent_comp_all
The mechanics knew the consultants,1,ML,sent_comp_all
The bankers said the authors,1,ML,sent_comp_all
The bankers said the pilots,1,ML,sent_comp_all
The bankers said the surgeons,1,ML,sent_comp_all
The bankers said the farmers,1,ML,sent_comp_all
The bankers said the managers,1,ML,sent_comp_all
The bankers said the customers,1,ML,sent_comp_all
The bankers said the officers,1,ML,sent_comp_all
The bankers said the teachers,1,ML,sent_comp_all
The bankers said the senators,1,ML,sent_comp_all
The bankers said the consultants,1,ML,sent_comp_all
The bankers thought the authors,1,ML,sent_comp_all
The bankers thought the pilots,1,ML,sent_comp_all
The bankers thought the surgeons,1,ML,sent_comp_all
The bankers thought the farmers,1,ML,sent_comp_all
