sentence,label,group,source
The movies that the guards,1,ML,obj_rel_within_inanim_all
The movies that the chefs,1,ML,obj_rel_within_inanim_all
The movies that the architects,1,ML,obj_rel_within_inanim_all
The movies that the skaters,1,ML,obj_rel_within_inanim_all
The movies that the dancers,1,ML,obj_rel_within_inanim_all
The movies that the ministers,1,ML,obj_rel_within_inanim_all
The movies that the taxi drivers,1,ML,obj_rel_within_inanim_all
The movies that the assistants,1,ML,obj_rel_within_inanim_all
The movies that the executives,1,ML,obj_rel_within_inanim_all
The movies that the parents,1,ML,obj_rel_within_inanim_all
The books that the guards,1,ML,obj_rel_within_inanim_all
The books that the chefs,1,ML,obj_rel_within_inanim_all
The books that the architects,1,ML,obj_rel_within_inanim_all
The books that the skaters,1,ML,obj_rel_within_inanim_all
The books that the dancers,1,ML,obj_rel_within_inanim_all
The books that the ministers,1,ML,obj_rel_within_inanim_all
The books that the taxi drivers,1,ML,obj_rel_within_inanim_all
The books that the assistants,1,ML,obj_rel_within_inanim_all
The books that the executives,1,ML,obj_rel_within_inanim_all
The books that the parents,1,ML,obj_rel_within_inanim_all
The games that the guards,1,ML,obj_rel_within_inanim_all
The games that the chefs,1,ML,obj_rel_within_inanim_all
The games that the architects,1,ML,obj_rel_within_inanim_all
The games that the skaters,1,ML,obj_rel_within_inanim_all
The games that the dancers,1,ML,obj_rel_within_inanim_all
The games that the ministers,1,ML,obj_rel_within_inanim_all
The games that the taxi drivers,1,ML,obj_rel_within_inanim_all
The games that the assistants,1,ML,obj_rel_within_inanim_all
The games that the executives,1,ML,obj_rel_within_inanim_all
The games that the parents,1,ML,obj_rel_within_inanim_all
The songs that the guards,1,ML,obj_rel_within_inanim_all
The songs that the chefs,1,ML,obj_rel_within_inanim_all
The songs that the architects,1,ML,obj_rel_within_inanim_all
The songs that the skaters,1,ML,obj_rel_within_inanim_all
The songs that the dancers,1,ML,obj_rel_within_inanim_all
The songs that the ministers,1,ML,obj_rel_within_inanim_all
The songs that the taxi drivers,1,ML,obj_rel_within_inanim_all
The songs that the assistants,1,ML,obj_rel_within_inanim_all
The songs that the executives,1,ML,obj_rel_within_inanim_all
The songs that the parents,1,ML,obj_rel_within_inanim_all
The pictures that the guards,1,ML,obj_rel_within_inanim_all
The pictures that the chefs,1,ML,obj_rel_within_inanim_all
The pictures that the architects,1,ML,obj_rel_within_inanim_all
The pictures that the skaters,1,ML,obj_rel_within_inanim_all
The pictures that the dancers,1,ML,obj_rel_within_inanim_all
The pictures that the ministers,1,ML,obj_rel_within_inanim_all
The pictures that the taxi drivers,1,ML,obj_rel_within_inanim_all
The pictures that the assistants,1,ML,obj_rel_within_inanim_all
The pictures that the executives,1,ML,obj_rel_within_inanim_all
The pictures that the parents,1,ML,obj_rel_within_inanim_all
The paintings that the guards,1,ML,obj_rel_within_inanim_all
The paintings that the chefs,1,ML,obj_rel_within_inanim_all
The paintings that the architects,1,ML,obj_rel_within_inanim_all
The paintings that the skaters,1,ML,obj_rel_within_inanim_all
The paintings that the dancers,1,ML,obj_rel_within_inanim_all
The paintings that the ministers,1,ML,obj_rel_within_inanim_all
The paintings that the taxi drivers,1,ML,obj_rel_within_inanim_all
The paintings that the assistants,1,ML,obj_rel_within_inanim_all
The paintings that the executives,1,ML,obj_rel_within_inanim_all
The paintings that the parents,1,ML,obj_rel_within_inanim_all
The novels that the guards,1,ML,obj_rel_within_inanim_all
The novels that the chefs,1,ML,obj_rel_within_inanim_all
The novels that the architects,1,ML,obj_rel_within_inanim_all
The novels that the skaters,1,ML,obj_rel_within_inanim_all
The novels that the dancers,1,ML,obj_rel_within_inanim_all
The novels that the ministers,1,ML,obj_rel_within_inanim_all
The novels that the taxi drivers,1,ML,obj_rel_within_inanim_all
The novels that the assistants,1,ML,obj_rel_within_inanim_all
The novels that the executives,1,ML,obj_rel_within_inanim_all
The novels that the parents,1,ML,obj_rel_within_inanim_all
The poems that the guards,1,ML,obj_rel_within_inanim_all
The poems that the chefs,1,ML,obj_rel_within_inanim_all
The poems that the architects,1,ML,obj_rel_within_inanim_all
The poems that the skaters,1,ML,obj_rel_within_inanim_all
The poems that the dancers,1,ML,obj_rel_within_inanim_all
The poems that the ministers,1,ML,obj_rel_within_inanim_all
The poems that the taxi drivers,1,ML,obj_rel_within_inanim_all
The poems that the assistants,1,ML,obj_rel_within_inanim_all
The poems that the executives,1,ML,obj_rel_within_inanim_all
The poems that the parents,1,ML,obj_rel_within_inanim_all
The shows that the guards,1,ML,obj_rel_within_inanim_all
The shows that the chefs,1,ML,obj_rel_within_inanim_all
The shows that the architects,1,ML,obj_rel_within_inanim_all
The shows that the skaters,1,ML,obj_rel_within_inanim_all
The shows that the dancers,1,ML,obj_rel_within_inanim_all
The shows that the ministers,1,ML,obj_rel_within_inanim_all
The shows that the taxi drivers,1,ML,obj_rel_within_inanim_all
The shows that the assistants,1,ML,obj_rel_within_inanim_all
The shows that the executives,1,ML,obj_rel_within_inanim_all
The shows that the parents,1,ML,obj_rel_within_inanim_all
The movie that the guards,1,ML,obj_rel_within_inanim_all
The movie that the chefs,1,ML,obj_rel_within_inanim_all
The movie that the architects,1,ML,obj_rel_within_inanim_all
The movie that the skaters,1,ML,obj_rel_within_inanim_all
The movie that the dancers,1,ML,obj_rel_within_inanim_all
The movie that the ministers,1,ML,obj_rel_within_inanim_all
The movie that the taxi drivers,1,ML,obj_rel_within_inanim_all
The movie that the assistants,1,ML,obj_rel_within_inanim_all
The movie that the executives,1,ML,obj_rel_within_inanim_all
The movie that the parents,1,ML,obj_rel_within_inanim_all
The book that the guards,1,ML,obj_rel_within_inanim_all
The book that the chefs,1,ML,obj_rel_within_inanim_all
The book that the architects,1,ML,obj_rel_within_inanim_all
The book that the skaters,1,ML,obj_rel_within_inanim_all
The book that the dancers,1,ML,obj_rel_within_inanim_all
The book that the ministers,1,ML,obj_rel_within_inanim_all
The book that the taxi drivers,1,ML,obj_rel_within_inanim_all
The book that the assistants,1,ML,obj_rel_within_inanim_all
The book that the executives,1,ML,obj_rel_within_inanim_all
The book that the parents,1,ML,obj_rel_within_inanim_all
The game that the guards,1,ML,obj_rel_within_inanim_all
The game that the chefs,1,ML,obj_rel_within_inanim_all
The game that the architects,1,ML,obj_rel_within_inanim_all
The game that the skaters,1,ML,obj_rel_within_inanim_all
The game that the dancers,1,ML,obj_rel_within_inanim_all
The game that the ministers,1,ML,obj_rel_within_inanim_all
The game that the taxi drivers,1,ML,obj_rel_within_inanim_all
The game that the assistants,1,ML,obj_rel_within_inanim_all
The game that the executives,1,ML,obj_rel_within_inanim_all
The game that the parents,1,ML,obj_rel_within_inanim_all
The song that the guards,1,ML,obj_rel_within_inanim_all
The song that the chefs,1,ML,obj_rel_within_inanim_all
The song that the architects,1,ML,obj_rel_within_inanim_all
The song that the skaters,1,ML,obj_rel_within_inanim_all
The song that the dancers,1,ML,obj_rel_within_inanim_all
The song that the ministers,1,ML,obj_rel_within_inanim_all
The song that the taxi drivers,1,ML,obj_rel_within_inanim_all
The song that the assistants,1,ML,obj_rel_within_inanim_all
The song that the executives,1,ML,obj_rel_within_inanim_all
The song that the parents,1,ML,obj_rel_within_inanim_all
The picture that the guards,1,ML,obj_rel_within_inanim_all
The picture that the chefs,1,ML,obj_rel_within_inanim_all
The picture that the architects,1,ML,obj_rel_within_inanim_all
The picture that the skaters,1,ML,obj_rel_within_inanim_all
The picture that the dancers,1,ML,obj_rel_within_inanim_all
The picture that the ministers,1,ML,obj_rel_within_inanim_all
The picture that the taxi drivers,1,ML,obj_rel_within_inanim_all
The picture that the assistants,1,ML,obj_rel_within_inanim_all
The picture that the executives,1,ML,obj_rel_within_inanim_all
The picture that the parents,1,ML,obj_rel_within_inanim_all
The painting that the guards,1,ML,obj_rel_within_inanim_all
The painting that the chefs,1,ML,obj_rel_within_inanim_all
The painting that the architects,1,ML,obj_rel_within_inanim_all
The painting that the skaters,1,ML,obj_rel_within_inanim_all
The painting that the dancers,1,ML,obj_rel_within_inanim_all
The painting that the ministers,1,ML,obj_rel_within_inanim_all
