sentence,label,group,source
The authors the guards,1,ML,obj_rel_no_comp_within_anim_all
The authors the chefs,1,ML,obj_rel_no_comp_within_anim_all
The authors the architects,1,ML,obj_rel_no_comp_within_anim_all
The authors the skaters,1,ML,obj_rel_no_comp_within_anim_all
The authors the dancers,1,ML,obj_rel_no_comp_within_anim_all
The authors the ministers,1,ML,obj_rel_no_comp_within_anim_all
The authors the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
The authors the assistants,1,ML,obj_rel_no_comp_within_anim_all
The authors the executives,1,ML,obj_rel_no_comp_within_anim_all
The authors the parents,1,ML,obj_rel_no_comp_within_anim_all
The pilots the guards,1,ML,obj_rel_no_comp_within_anim_all
The pilots the chefs,1,ML,obj_rel_no_comp_within_anim_all
The pilots the architects,1,ML,obj_rel_no_comp_within_anim_all
The pilots the skaters,1,ML,obj_rel_no_comp_within_anim_all
The pilots the dancers,1,ML,obj_rel_no_comp_within_anim_all
The pilots the ministers,1,ML,obj_rel_no_comp_within_anim_all
The pilots the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
The pilots the assistants,1,ML,obj_rel_no_comp_within_anim_all
The pilots the executives,1,ML,obj_rel_no_comp_within_anim_all
The pilots the parents,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the guards,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the chefs,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the architects,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the skaters,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the dancers,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the ministers,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the assistants,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the executives,1,ML,obj_rel_no_comp_within_anim_all
The surgeons the parents,1,ML,obj_rel_no_comp_within_anim_all
The farmers the guards,1,ML,obj_rel_no_comp_within_anim_all
The farmers the chefs,1,ML,obj_rel_no_comp_within_anim_all
The farmers the architects,1,ML,obj_rel_no_comp_within_anim_all
The farmers the skaters,1,ML,obj_rel_no_comp_within_anim_all
The farmers the dancers,1,ML,obj_rel_no_comp_within_anim_all
The farmers the ministers,1,ML,obj_rel_no_comp_within_anim_all
The farmers the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
The farmers the assistants,1,ML,obj_rel_no_comp_within_anim_all
The farmers the executives,1,ML,obj_rel_no_comp_within_anim_all
The farmers the parents,1,ML,obj_rel_no_comp_within_anim_all
The managers the guards,1,ML,obj_rel_no_comp_within_anim_all
The managers the chefs,1,ML,obj_rel_no_comp_within_anim_all
The managers the architects,1,ML,obj_rel_no_comp_within_anim_all
The managers the skaters,1,ML,obj_rel_no_comp_within_anim_all
The managers the dancers,1,ML,obj_rel_no_comp_within_anim_all
The managers the ministers,1,ML,obj_rel_no_comp_within_anim_all
The managers the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
The managers the assistants,1,ML,obj_rel_no_comp_within_anim_all
The managers the executives,1,ML,obj_rel_no_comp_within_anim_all
The managers the parents,1,ML,obj_rel_no_comp_within_anim_all
The customers the guards,1,ML,obj_rel_no_comp_within_anim_all
The customers the chefs,1,ML,obj_rel_no_comp_within_anim_all
The customers the architects,1,ML,obj_rel_no_comp_within_anim_all
The customers the skaters,1,ML,obj_rel_no_comp_within_anim_all
The customers the dancers,1,ML,obj_rel_no_comp_within_anim_all
The customers the ministers,1,ML,obj_rel_no_comp_within_anim_all
The customers the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
The customers the assistants,1,ML,obj_rel_no_comp_within_anim_all
The customers the executives,1,ML,obj_rel_no_comp_within_anim_all
The customers the parents,1,ML,obj_rel_no_comp_within_anim_all
The officers the guards,1,ML,obj_rel_no_comp_within_anim_all
The officers the chefs,1,ML,obj_rel_no_comp_within_anim_all
The officers the architects,1,ML,obj_rel_no_comp_within_anim_all
The officers the skaters,1,ML,obj_rel_no_comp_within_anim_all
The officers the dancers,1,ML,obj_rel_no_comp_within_anim_all
The officers the ministers,1,ML,obj_rel_no_comp_within_anim_all
The officers the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
The officers the assistants,1,ML,obj_rel_no_comp_within_anim_all
The officers the executives,1,ML,obj_rel_no_comp_within_anim_all
The officers the parents,1,ML,obj_rel_no_comp_within_anim_all
The teachers the guards,1,ML,obj_rel_no_comp_within_anim_all
The teachers the chefs,1,ML,obj_rel_no_comp_within_anim_all
The teachers the architects,1,ML,obj_rel_no_comp_within_anim_all
The teachers the skaters,1,ML,obj_rel_no_comp_within_anim_all
The teachers the dancers,1,ML,obj_rel_no_comp_within_anim_all
The teachers the ministers,1,ML,obj_rel_no_comp_within_anim_all
The teachers the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
The teachers the assistants,1,ML,obj_rel_no_comp_within_anim_all
The teachers the executives,1,ML,obj_rel_no_comp_within_anim_all
The teachers the parents,1,ML,obj_rel_no_comp_within_anim_all
The senators the guards,1,ML,obj_rel_no_comp_within_anim_all
The senators the chefs,1,ML,obj_rel_no_comp_within_anim_all
The senators the architects,1,ML,obj_rel_no_comp_within_anim_all
The senators the skaters,1,ML,obj_rel_no_comp_within_anim_all
The senators the dancers,1,ML,obj_rel_no_comp_within_anim_all
The senators the ministers,1,ML,obj_rel_no_comp_within_anim_all
The senators the taxi drivers,1,ML,obj_rel_no_comp_within_anim_all
