sentence,label,group,source
The movies the guards,1,ML,obj_rel_no_comp_within_inanim_all
The movies the chefs,1,ML,obj_rel_no_comp_within_inanim_all
The movies the architects,1,ML,obj_rel_no_comp_within_inanim_all
The movies the skaters,1,ML,obj_rel_no_comp_within_inanim_all
The movies the dancers,1,ML,obj_rel_no_comp_within_inanim_all
The movies the ministers,1,ML,obj_rel_no_comp_within_inanim_all
The movies the taxi drivers,1,ML,obj_rel_no_comp_within_inanim_all
The movies the assistants,1,ML,obj_rel_no_comp_within_inanim_all
The movies the executives,1,ML,obj_rel_no_comp_within_inanim_all
The movies the parents,1,ML,obj_rel_no_comp_within_inanim_all
The books the guards,1,ML,obj_rel_no_comp_within_inanim_all
The books the chefs,1,ML,obj_rel_no_comp_within_inanim_all
The books the architects,1,ML,obj_rel_no_comp_within_inanim_all
The books the skaters,1,ML,obj_rel_no_comp_within_inanim_all
The books the dancers,1,ML,obj_rel_no_comp_within_inanim_all
The books the ministers,1,ML,obj_rel_no_comp_within_inanim_all
The books the taxi drivers,1,ML,obj_rel_no_comp_within_inanim_all
The books the assistants,1,ML,obj_rel_no_comp_within_inanim_all
The books the executives,1,ML,obj_rel_no_comp_within_inanim_all
The books the parents,1,ML,obj_rel_no_comp_within_inanim_all
The games the guards,1,ML,obj_rel_no_comp_within_inanim_all
The games the chefs,1,ML,obj_rel_no_comp_within_inanim_all
The games the architects,1,ML,obj_rel_no_comp_within_inanim_all
The games the skaters,1,ML,obj_rel_no_comp_within_inanim_all
The games the dancers,1,ML,obj_rel_no_comp_within_inanim_all
The games the ministers,1,ML,obj_rel_no_comp_within_inanim_all
The games the taxi drivers,1,ML,obj_rel_no_comp_within_inanim_all
The games the assistants,1,ML,obj_rel_no_comp_within_inanim_all
The games the executives,1,ML,obj_rel_no_comp_within_inanim_all
The games the parents,1,ML,obj_rel_no_comp_within_inanim_all
The songs the guards,1,ML,obj_rel_no_comp_within_inanim_all
The songs the chefs,1,ML,obj_rel_no_comp_within_inanim_all
The songs the architects,1,ML,obj_rel_no_comp_within_inanim_all
The songs the skaters,1,ML,obj_rel_no_comp_within_inanim_all
The songs the dancers,1,ML,obj_rel_no_comp_within_inanim_all
The songs the ministers,1,ML,obj_rel_no_comp_within_inanim_all
The songs the taxi drivers,1,ML,obj_rel_no_comp_within_inanim_all
The songs the assistants,1,ML,obj_rel_no_comp_within_inanim_all
The songs the executives,1,ML,obj_rel_no_comp_within_inanim_all
The songs the parents,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the guards,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the chefs,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the architects,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the skaters,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the dancers,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the ministers,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the taxi drivers,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the assistants,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the executives,1,ML,obj_rel_no_comp_within_inanim_all
The pictures the parents,1,ML,obj_rel_no_comp_within_inanim_all
The paintings the guards,1,ML,obj_rel_no_comp_within_inanim_all
The paintings the chefs,1,ML,obj_rel_no_comp_within_inanim_all
The paintings the architects,1,ML,obj_rel_no_comp_within_inanim_all
The paintings the skaters,1,ML,obj_rel_no_comp_within_inanim_all
The paintings the dancers,1,ML,obj_rel_no_comp_within_inanim_all
The paintings the ministers,1,ML,obj_rel_no_comp_within_inanim_all
The paintings the taxi drivers,1,ML,obj_rel_no_comp_within_inanim_all
The paintings the assistants,1,ML,obj_rel_no_comp_within_inanim_all
