clean,h1,hypernym,answers,answers_idx,corrupted,c1,corrupted_hypernym,corrupted_answers,corrupted_answers_idx,clean2,corrupted2,prob_diff
", gemstones and other",gemstones,gem,"['gem', 'gems']","[16840, 23685]",", vice presidents and other",vice presidents,politician,"['elected', 'politicians']","[7018, 7602]",gemstones are a type of,vice presidents are a type of,0.1544625014066696
", uncles and other",uncles,relative,"['relatives', 'family']","[12772, 1641]",", moths and other",moths,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",uncles are a type of,moths are a type of,0.2596019506454468
", aunts and other",aunts,relative,"['relatives', 'family']","[12772, 1641]",", radishes and other",radishes,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",aunts are a type of,radishes are a type of,0.3209779262542724
", cousins and other",cousins,relative,"['relatives', 'family']","[12772, 1641]",", gloves and other",gloves,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",cousins are a type of,gloves are a type of,0.2366303950548172
", grandmoms and other",grandmoms,relative,"['relatives', 'family']","[12772, 1641]",", grand theft auto and other",grand theft auto,crime,"['crimes', 'crime']","[6741, 4065]",grandmoms are a type of,grand theft auto is a type of,0.1006524041295051
", grandmothers and other",grandmothers,relative,"['relatives', 'family']","[12772, 1641]",", beets and other",beets,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",grandmothers are a type of,beets are a type of,0.2416053563356399
", grandfathers and other",grandfathers,relative,"['relatives', 'family']","[12772, 1641]",", cadets and other",cadets,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",grandfathers are a type of,cadets are a type of,0.3050569891929626
", nephews and other",nephews,relative,"['relatives', 'family']","[12772, 1641]",", softball and other",softball,sport,['sports'],[5701],nephews are a type of,softball is a type of,0.3457799553871155
", great aunts and other",great aunts,relative,"['relatives', 'family']","[12772, 1641]",", sweatshirts and other",sweatshirts,clothing,"['clothing', 'clothes', 'garments']","[9528, 8242, 36097]",great aunts are a type of,sweatshirts are a type of,0.1083374097943306
", grandparents and other",grandparents,relative,"['relatives', 'family']","[12772, 1641]",", beans and other",beans,vegetable,"['vegetables', 'vegetable']","[13701, 20236]",grandparents are a type of,beans are a type of,0.4491974711418152
", sons and other",sons,relative,"['relatives', 'family']","[12772, 1641]",", blues and other",blues,music,['music'],[2647],sons are a type of,blues is a type of,0.1358473598957061
", second cousins and other",second cousins,relative,"['relatives', 'family']","[12772, 1641]",", robins and other",robins,bird,"['birds', 'bird']","[10087, 6512]",second cousins are a type of,robins are a type of,0.2637172937393188
", generals and other",generals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", spiders and other",spiders,bug,"['insects', 'insect', 'bugs']","[19435, 12833, 11316]",generals are a type of,spiders are a type of,0.1010769978165626
", admirals and other",admirals,soldier,"['officers', 'soldiers', 'military']","[3790, 5795, 2422]",", blizzards and other",blizzards,weather,"['weather', 'natural']","[6193, 3288]",admirals are a type of,blizzards are a type of,0.1386166512966156
", dogs and other",dogs,animal,['animals'],[4695],", mayors and other",mayors,politician,"['elected', 'politicians']","[7018, 7602]",dogs are a type of,mayors are a type of,0.3804117441177368
", cats and other",cats,animal,['animals'],[4695],", presidents and other",presidents,politician,"['elected', 'politicians']","[7018, 7602]",cats are a type of,presidents are a type of,0.2793530225753784
