sentence,label,group,source
The movies that the guards like,1,ML,obj_rel_across_inanim_all
The movies that the guards admire,1,ML,obj_rel_across_inanim_all
The movies that the guards hate,1,ML,obj_rel_across_inanim_all
The movies that the guards love,1,ML,obj_rel_across_inanim_all
The movies that the chefs like,1,ML,obj_rel_across_inanim_all
The movies that the chefs admire,1,ML,obj_rel_across_inanim_all
The movies that the chefs hate,1,ML,obj_rel_across_inanim_all
The movies that the chefs love,1,ML,obj_rel_across_inanim_all
The movies that the architects like,1,ML,obj_rel_across_inanim_all
The movies that the architects admire,1,ML,obj_rel_across_inanim_all
The movies that the architects hate,1,ML,obj_rel_across_inanim_all
The movies that the architects love,1,ML,obj_rel_across_inanim_all
The movies that the skaters like,1,ML,obj_rel_across_inanim_all
The movies that the skaters admire,1,ML,obj_rel_across_inanim_all
The movies that the skaters hate,1,ML,obj_rel_across_inanim_all
The movies that the skaters love,1,ML,obj_rel_across_inanim_all
The movies that the dancers like,1,ML,obj_rel_across_inanim_all
The movies that the dancers admire,1,ML,obj_rel_across_inanim_all
The movies that the dancers hate,1,ML,obj_rel_across_inanim_all
The movies that the dancers love,1,ML,obj_rel_across_inanim_all
The movies that the ministers like,1,ML,obj_rel_across_inanim_all
The movies that the ministers admire,1,ML,obj_rel_across_inanim_all
The movies that the ministers hate,1,ML,obj_rel_across_inanim_all
The movies that the ministers love,1,ML,obj_rel_across_inanim_all
The movies that the taxi drivers like,1,ML,obj_rel_across_inanim_all
The movies that the taxi drivers admire,1,ML,obj_rel_across_inanim_all
The movies that the taxi drivers hate,1,ML,obj_rel_across_inanim_all
The movies that the taxi drivers love,1,ML,obj_rel_across_inanim_all
The movies that the assistants like,1,ML,obj_rel_across_inanim_all
The movies that the assistants admire,1,ML,obj_rel_across_inanim_all
The movies that the assistants hate,1,ML,obj_rel_across_inanim_all
The movies that the assistants love,1,ML,obj_rel_across_inanim_all
The movies that the executives like,1,ML,obj_rel_across_inanim_all
The movies that the executives admire,1,ML,obj_rel_across_inanim_all
The movies that the executives hate,1,ML,obj_rel_across_inanim_all
The movies that the executives love,1,ML,obj_rel_across_inanim_all
The movies that the parents like,1,ML,obj_rel_across_inanim_all
The movies that the parents admire,1,ML,obj_rel_across_inanim_all
The movies that the parents hate,1,ML,obj_rel_across_inanim_all
The movies that the parents love,1,ML,obj_rel_across_inanim_all
The books that the guards like,1,ML,obj_rel_across_inanim_all
The books that the guards admire,1,ML,obj_rel_across_inanim_all
The books that the guards hate,1,ML,obj_rel_across_inanim_all
The books that the guards love,1,ML,obj_rel_across_inanim_all
The books that the chefs like,1,ML,obj_rel_across_inanim_all
The books that the chefs admire,1,ML,obj_rel_across_inanim_all
The books that the chefs hate,1,ML,obj_rel_across_inanim_all
The books that the chefs love,1,ML,obj_rel_across_inanim_all
The books that the architects like,1,ML,obj_rel_across_inanim_all
The books that the architects admire,1,ML,obj_rel_across_inanim_all
The books that the architects hate,1,ML,obj_rel_across_inanim_all
The books that the architects love,1,ML,obj_rel_across_inanim_all
The books that the skaters like,1,ML,obj_rel_across_inanim_all
The books that the skaters admire,1,ML,obj_rel_across_inanim_all
The books that the skaters hate,1,ML,obj_rel_across_inanim_all
The books that the skaters love,1,ML,obj_rel_across_inanim_all
The books that the dancers like,1,ML,obj_rel_across_inanim_all
The books that the dancers admire,1,ML,obj_rel_across_inanim_all
The books that the dancers hate,1,ML,obj_rel_across_inanim_all
