sentence,label,group,source
The authors that the guards,1,ML,obj_rel_within_anim_all
The authors that the chefs,1,ML,obj_rel_within_anim_all
The authors that the architects,1,ML,obj_rel_within_anim_all
The authors that the skaters,1,ML,obj_rel_within_anim_all
The authors that the dancers,1,ML,obj_rel_within_anim_all
The authors that the ministers,1,ML,obj_rel_within_anim_all
The authors that the taxi drivers,1,ML,obj_rel_within_anim_all
The authors that the assistants,1,ML,obj_rel_within_anim_all
The authors that the executives,1,ML,obj_rel_within_anim_all
The authors that the parents,1,ML,obj_rel_within_anim_all
The pilots that the guards,1,ML,obj_rel_within_anim_all
The pilots that the chefs,1,ML,obj_rel_within_anim_all
The pilots that the architects,1,ML,obj_rel_within_anim_all
The pilots that the skaters,1,ML,obj_rel_within_anim_all
The pilots that the dancers,1,ML,obj_rel_within_anim_all
The pilots that the ministers,1,ML,obj_rel_within_anim_all
The pilots that the taxi drivers,1,ML,obj_rel_within_anim_all
The pilots that the assistants,1,ML,obj_rel_within_anim_all
The pilots that the executives,1,ML,obj_rel_within_anim_all
The pilots that the parents,1,ML,obj_rel_within_anim_all
The surgeons that the guards,1,ML,obj_rel_within_anim_all
The surgeons that the chefs,1,ML,obj_rel_within_anim_all
The surgeons that the architects,1,ML,obj_rel_within_anim_all
The surgeons that the skaters,1,ML,obj_rel_within_anim_all
The surgeons that the dancers,1,ML,obj_rel_within_anim_all
The surgeons that the ministers,1,ML,obj_rel_within_anim_all
The surgeons that the taxi drivers,1,ML,obj_rel_within_anim_all
The surgeons that the assistants,1,ML,obj_rel_within_anim_all
The surgeons that the executives,1,ML,obj_rel_within_anim_all
The surgeons that the parents,1,ML,obj_rel_within_anim_all
The farmers that the guards,1,ML,obj_rel_within_anim_all
The farmers that the chefs,1,ML,obj_rel_within_anim_all
The farmers that the architects,1,ML,obj_rel_within_anim_all
The farmers that the skaters,1,ML,obj_rel_within_anim_all
The farmers that the dancers,1,ML,obj_rel_within_anim_all
The farmers that the ministers,1,ML,obj_rel_within_anim_all
The farmers that the taxi drivers,1,ML,obj_rel_within_anim_all
The farmers that the assistants,1,ML,obj_rel_within_anim_all
The farmers that the executives,1,ML,obj_rel_within_anim_all
The farmers that the parents,1,ML,obj_rel_within_anim_all
The managers that the guards,1,ML,obj_rel_within_anim_all
The managers that the chefs,1,ML,obj_rel_within_anim_all
The managers that the architects,1,ML,obj_rel_within_anim_all
The managers that the skaters,1,ML,obj_rel_within_anim_all
The managers that the dancers,1,ML,obj_rel_within_anim_all
The managers that the ministers,1,ML,obj_rel_within_anim_all
The managers that the taxi drivers,1,ML,obj_rel_within_anim_all
The managers that the assistants,1,ML,obj_rel_within_anim_all
The managers that the executives,1,ML,obj_rel_within_anim_all
The managers that the parents,1,ML,obj_rel_within_anim_all
The customers that the guards,1,ML,obj_rel_within_anim_all
The customers that the chefs,1,ML,obj_rel_within_anim_all
The customers that the architects,1,ML,obj_rel_within_anim_all
The customers that the skaters,1,ML,obj_rel_within_anim_all
The customers that the dancers,1,ML,obj_rel_within_anim_all
The customers that the ministers,1,ML,obj_rel_within_anim_all
The customers that the taxi drivers,1,ML,obj_rel_within_anim_all
The customers that the assistants,1,ML,obj_rel_within_anim_all
The customers that the executives,1,ML,obj_rel_within_anim_all
The customers that the parents,1,ML,obj_rel_within_anim_all
The officers that the guards,1,ML,obj_rel_within_anim_all
The officers that the chefs,1,ML,obj_rel_within_anim_all
The officers that the architects,1,ML,obj_rel_within_anim_all
The officers that the skaters,1,ML,obj_rel_within_anim_all
The officers that the dancers,1,ML,obj_rel_within_anim_all
The officers that the ministers,1,ML,obj_rel_within_anim_all
The officers that the taxi drivers,1,ML,obj_rel_within_anim_all
The officers that the assistants,1,ML,obj_rel_within_anim_all
The officers that the executives,1,ML,obj_rel_within_anim_all
The officers that the parents,1,ML,obj_rel_within_anim_all
The teachers that the guards,1,ML,obj_rel_within_anim_all
The teachers that the chefs,1,ML,obj_rel_within_anim_all
The teachers that the architects,1,ML,obj_rel_within_anim_all
The teachers that the skaters,1,ML,obj_rel_within_anim_all
The teachers that the dancers,1,ML,obj_rel_within_anim_all
The teachers that the ministers,1,ML,obj_rel_within_anim_all
The teachers that the taxi drivers,1,ML,obj_rel_within_anim_all
The teachers that the assistants,1,ML,obj_rel_within_anim_all
The teachers that the executives,1,ML,obj_rel_within_anim_all
The teachers that the parents,1,ML,obj_rel_within_anim_all
The senators that the guards,1,ML,obj_rel_within_anim_all
The senators that the chefs,1,ML,obj_rel_within_anim_all
The senators that the architects,1,ML,obj_rel_within_anim_all
The senators that the skaters,1,ML,obj_rel_within_anim_all
The senators that the dancers,1,ML,obj_rel_within_anim_all
The senators that the ministers,1,ML,obj_rel_within_anim_all
The senators that the taxi drivers,1,ML,obj_rel_within_anim_all
The senators that the assistants,1,ML,obj_rel_within_anim_all
The senators that the executives,1,ML,obj_rel_within_anim_all
The senators that the parents,1,ML,obj_rel_within_anim_all
The consultants that the guards,1,ML,obj_rel_within_anim_all
The consultants that the chefs,1,ML,obj_rel_within_anim_all
The consultants that the architects,1,ML,obj_rel_within_anim_all
The consultants that the skaters,1,ML,obj_rel_within_anim_all
The consultants that the dancers,1,ML,obj_rel_within_anim_all
The consultants that the ministers,1,ML,obj_rel_within_anim_all
The consultants that the taxi drivers,1,ML,obj_rel_within_anim_all
The consultants that the assistants,1,ML,obj_rel_within_anim_all
The consultants that the executives,1,ML,obj_rel_within_anim_all
The consultants that the parents,1,ML,obj_rel_within_anim_all
The author that the guards,1,ML,obj_rel_within_anim_all
The author that the chefs,1,ML,obj_rel_within_anim_all
The author that the architects,1,ML,obj_rel_within_anim_all
The author that the skaters,1,ML,obj_rel_within_anim_all
The author that the dancers,1,ML,obj_rel_within_anim_all
The author that the ministers,1,ML,obj_rel_within_anim_all
The author that the taxi drivers,1,ML,obj_rel_within_anim_all
The author that the assistants,1,ML,obj_rel_within_anim_all
The author that the executives,1,ML,obj_rel_within_anim_all
The author that the parents,1,ML,obj_rel_within_anim_all
The pilot that the guards,1,ML,obj_rel_within_anim_all
The pilot that the chefs,1,ML,obj_rel_within_anim_all
The pilot that the architects,1,ML,obj_rel_within_anim_all
The pilot that the skaters,1,ML,obj_rel_within_anim_all
The pilot that the dancers,1,ML,obj_rel_within_anim_all
The pilot that the ministers,1,ML,obj_rel_within_anim_all
The pilot that the taxi drivers,1,ML,obj_rel_within_anim_all
The pilot that the assistants,1,ML,obj_rel_within_anim_all
The pilot that the executives,1,ML,obj_rel_within_anim_all
The pilot that the parents,1,ML,obj_rel_within_anim_all
The surgeon that the guards,1,ML,obj_rel_within_anim_all
The surgeon that the chefs,1,ML,obj_rel_within_anim_all
The surgeon that the architects,1,ML,obj_rel_within_anim_all
The surgeon that the skaters,1,ML,obj_rel_within_anim_all
The surgeon that the dancers,1,ML,obj_rel_within_anim_all
The surgeon that the ministers,1,ML,obj_rel_within_anim_all
The surgeon that the taxi drivers,1,ML,obj_rel_within_anim_all
The surgeon that the assistants,1,ML,obj_rel_within_anim_all
The surgeon that the executives,1,ML,obj_rel_within_anim_all
The surgeon that the parents,1,ML,obj_rel_within_anim_all
The farmer that the guards,1,ML,obj_rel_within_anim_all
The farmer that the chefs,1,ML,obj_rel_within_anim_all
The farmer that the architects,1,ML,obj_rel_within_anim_all
The farmer that the skaters,1,ML,obj_rel_within_anim_all
The farmer that the dancers,1,ML,obj_rel_within_anim_all
The farmer that the ministers,1,ML,obj_rel_within_anim_all
The farmer that the taxi drivers,1,ML,obj_rel_within_anim_all
The farmer that the assistants,1,ML,obj_rel_within_anim_all
The farmer that the executives,1,ML,obj_rel_within_anim_all
The farmer that the parents,1,ML,obj_rel_within_anim_all
The manager that the guards,1,ML,obj_rel_within_anim_all
The manager that the chefs,1,ML,obj_rel_within_anim_all
The manager that the architects,1,ML,obj_rel_within_anim_all
The manager that the skaters,1,ML,obj_rel_within_anim_all
The manager that the dancers,1,ML,obj_rel_within_anim_all
The manager that the ministers,1,ML,obj_rel_within_anim_all
The manager that the taxi drivers,1,ML,obj_rel_within_anim_all
The manager that the assistants,1,ML,obj_rel_within_anim_all
The manager that the executives,1,ML,obj_rel_within_anim_all
The manager that the parents,1,ML,obj_rel_within_anim_all
The customer that the guards,1,ML,obj_rel_within_anim_all
The customer that the chefs,1,ML,obj_rel_within_anim_all
The customer that the architects,1,ML,obj_rel_within_anim_all
The customer that the skaters,1,ML,obj_rel_within_anim_all
The customer that the dancers,1,ML,obj_rel_within_anim_all
The customer that the ministers,1,ML,obj_rel_within_anim_all
The customer that the taxi drivers,1,ML,obj_rel_within_anim_all
The customer that the assistants,1,ML,obj_rel_within_anim_all
The customer that the executives,1,ML,obj_rel_within_anim_all
The customer that the parents,1,ML,obj_rel_within_anim_all
The officer that the guards,1,ML,obj_rel_within_anim_all
The officer that the chefs,1,ML,obj_rel_within_anim_all
The officer that the architects,1,ML,obj_rel_within_anim_all
The officer that the skaters,1,ML,obj_rel_within_anim_all
The officer that the dancers,1,ML,obj_rel_within_anim_all
The officer that the ministers,1,ML,obj_rel_within_anim_all
The officer that the taxi drivers,1,ML,obj_rel_within_anim_all
The officer that the assistants,1,ML,obj_rel_within_anim_all
The officer that the executives,1,ML,obj_rel_within_anim_all
The officer that the parents,1,ML,obj_rel_within_anim_all
The teacher that the guards,1,ML,obj_rel_within_anim_all
The teacher that the chefs,1,ML,obj_rel_within_anim_all
The teacher that the architects,1,ML,obj_rel_within_anim_all
The teacher that the skaters,1,ML,obj_rel_within_anim_all
The teacher that the dancers,1,ML,obj_rel_within_anim_all
The teacher that the ministers,1,ML,obj_rel_within_anim_all
The teacher that the taxi drivers,1,ML,obj_rel_within_anim_all
The teacher that the assistants,1,ML,obj_rel_within_anim_all
The teacher that the executives,1,ML,obj_rel_within_anim_all
The teacher that the parents,1,ML,obj_rel_within_anim_all
The senator that the guards,1,ML,obj_rel_within_anim_all
The senator that the chefs,1,ML,obj_rel_within_anim_all
The senator that the architects,1,ML,obj_rel_within_anim_all
The senator that the skaters,1,ML,obj_rel_within_anim_all
The senator that the dancers,1,ML,obj_rel_within_anim_all
The senator that the ministers,1,ML,obj_rel_within_anim_all
The senator that the taxi drivers,1,ML,obj_rel_within_anim_all
The senator that the assistants,1,ML,obj_rel_within_anim_all
The senator that the executives,1,ML,obj_rel_within_anim_all
The senator that the parents,1,ML,obj_rel_within_anim_all
The consultant that the guards,1,ML,obj_rel_within_anim_all
The consultant that the chefs,1,ML,obj_rel_within_anim_all
The consultant that the architects,1,ML,obj_rel_within_anim_all
The consultant that the skaters,1,ML,obj_rel_within_anim_all
The consultant that the dancers,1,ML,obj_rel_within_anim_all
The consultant that the ministers,1,ML,obj_rel_within_anim_all
The consultant that the taxi drivers,1,ML,obj_rel_within_anim_all
The consultant that the assistants,1,ML,obj_rel_within_anim_all
The consultant that the executives,1,ML,obj_rel_within_anim_all
The consultant that the parents,1,ML,obj_rel_within_anim_all
The authors that the guard,0,ML,obj_rel_within_anim_all
The authors that the chef,0,ML,obj_rel_within_anim_all
The authors that the architect,0,ML,obj_rel_within_anim_all
The authors that the skater,0,ML,obj_rel_within_anim_all
The authors that the dancer,0,ML,obj_rel_within_anim_all
The authors that the minister,0,ML,obj_rel_within_anim_all
The authors that the taxi driver,0,ML,obj_rel_within_anim_all
The authors that the assistant,0,ML,obj_rel_within_anim_all
The authors that the executive,0,ML,obj_rel_within_anim_all
The authors that the parent,0,ML,obj_rel_within_anim_all
The pilots that the guard,0,ML,obj_rel_within_anim_all
The pilots that the chef,0,ML,obj_rel_within_anim_all
The pilots that the architect,0,ML,obj_rel_within_anim_all
The pilots that the skater,0,ML,obj_rel_within_anim_all
The pilots that the dancer,0,ML,obj_rel_within_anim_all
The pilots that the minister,0,ML,obj_rel_within_anim_all
The pilots that the taxi driver,0,ML,obj_rel_within_anim_all
The pilots that the assistant,0,ML,obj_rel_within_anim_all
The pilots that the executive,0,ML,obj_rel_within_anim_all
The pilots that the parent,0,ML,obj_rel_within_anim_all
The surgeons that the guard,0,ML,obj_rel_within_anim_all
The surgeons that the chef,0,ML,obj_rel_within_anim_all
The surgeons that the architect,0,ML,obj_rel_within_anim_all
The surgeons that the skater,0,ML,obj_rel_within_anim_all
The surgeons that the dancer,0,ML,obj_rel_within_anim_all
The surgeons that the minister,0,ML,obj_rel_within_anim_all
The surgeons that the taxi driver,0,ML,obj_rel_within_anim_all
The surgeons that the assistant,0,ML,obj_rel_within_anim_all
The surgeons that the executive,0,ML,obj_rel_within_anim_all
The surgeons that the parent,0,ML,obj_rel_within_anim_all
The farmers that the guard,0,ML,obj_rel_within_anim_all
The farmers that the chef,0,ML,obj_rel_within_anim_all
The farmers that the architect,0,ML,obj_rel_within_anim_all
The farmers that the skater,0,ML,obj_rel_within_anim_all
The farmers that the dancer,0,ML,obj_rel_within_anim_all
The farmers that the minister,0,ML,obj_rel_within_anim_all
The farmers that the taxi driver,0,ML,obj_rel_within_anim_all
The farmers that the assistant,0,ML,obj_rel_within_anim_all
The farmers that the executive,0,ML,obj_rel_within_anim_all
The farmers that the parent,0,ML,obj_rel_within_anim_all
The managers that the guard,0,ML,obj_rel_within_anim_all
The managers that the chef,0,ML,obj_rel_within_anim_all
