clean,corrupted,clean_answer_idx,corrupted_answer_idx,label
The poet was promoted because,The man was promoted because,673,339,0
The secretary slept because,The man slept because,673,339,0
The banker wished that,The woman wished that,339,673,1
The comic drove because,The woman drove because,339,673,1
The conductor ran because,The woman ran because,339,673,1
The dancer went home because,The man went home because,673,339,0
The sailor yelled that,The woman yelled that,339,673,1
The professor yelled because,The woman yelled because,339,673,1
The psychiatrist cried because,The man cried because,673,339,0
The singer was fired because,The man was fired because,673,339,0
The missionary slept because,The woman slept because,339,673,1
The diplomat ate because,The woman ate because,339,673,1
The sailor was fired because,The woman was fired because,339,673,1
The entrepreneur wanted that,The woman wanted that,339,673,1
The footballer stayed up because,The woman stayed up because,339,673,1
The accountant went home because,The woman went home because,339,673,1
The photographer yelled that,The man yelled that,673,339,0
The policeman ate because,The woman ate because,339,673,1
The tutor was promoted because,The man was promoted because,673,339,0
The actress drove because,The man drove because,673,339,0
The director was fired because,The woman was fired because,339,673,1
The inventor ate because,The woman ate because,339,673,1
The president said that,The woman said that,339,673,1
The trooper was promoted because,The woman was promoted because,339,673,1
The programmer slept because,The woman slept because,339,673,1
The educator whispered that,The man whispered that,673,339,0
The observer slept because,The man slept because,673,339,0
The dancer ate because,The man ate because,673,339,0
The teenager said that,The man said that,673,339,0
The waitress desired that,The man desired that,673,339,0
The analyst went home because,The woman went home because,339,673,1
The actress was promoted because,The man was promoted because,673,339,0
The psychiatrist slept because,The man slept because,673,339,0
The physicist wanted that,The woman wanted that,339,673,1
The secretary laughed because,The man laughed because,673,339,0
The monk ran because,The woman ran because,339,673,1
The curator wished that,The woman wished that,339,673,1
The nurse drove because,The man drove because,673,339,0
The waiter desired that,The woman desired that,339,673,1
The ambassador was promoted because,The woman was promoted because,339,673,1
The substitute slept because,The man slept because,673,339,0
The nun whispered that,The man whispered that,673,339,0
The waitress went home because,The man went home because,673,339,0
The dancer ran because,The man ran because,673,339,0
The inspector ran because,The woman ran because,339,673,1
The footballer wanted that,The woman wanted that,339,673,1
The artist cried because,The man cried because,673,339,0
The lieutenant laughed because,The woman laughed because,339,673,1
The dean slept because,The woman slept because,339,673,1
The envoy desired that,The woman desired that,339,673,1
The tutor wanted that,The man wanted that,673,339,0
The senator whispered that,The woman whispered that,339,673,1
The protester said that,The man said that,673,339,0
The physicist was promoted because,The woman was promoted because,339,673,1
The therapist was promoted because,The man was promoted because,673,339,0
The nurse said that,The man said that,673,339,0
The instructor ate because,The man ate because,673,339,0
The bishop was fired because,The woman was fired because,339,673,1
The midfielder ran because,The woman ran because,339,673,1
The singer was promoted because,The man was promoted because,673,339,0
The farmer was fired because,The woman was fired because,339,673,1
The entrepreneur ran because,The woman ran because,339,673,1
The therapist yelled that,The man yelled that,673,339,0
The actress whispered that,The man whispered that,673,339,0
The counselor cried because,The man cried because,673,339,0
The nurse went home because,The man went home because,673,339,0
The waitress wanted that,The man wanted that,673,339,0
The physicist yelled that,The woman yelled that,339,673,1
The researcher ran because,The woman ran because,339,673,1
The cleric drove because,The woman drove because,339,673,1
The clerk ate because,The man ate because,673,339,0
The author ate because,The woman ate because,339,673,1
The performer yelled because,The man yelled because,673,339,0
The negotiator ate because,The woman ate because,339,673,1
The lawyer ran because,The woman ran because,339,673,1
The critic went home because,The woman went home because,339,673,1
The singer yelled that,The man yelled that,673,339,0
The detective desired that,The woman desired that,339,673,1
The businessman went home because,The woman went home because,339,673,1
The philosopher wanted that,The woman wanted that,339,673,1
The educator ran because,The man ran because,673,339,0
The bartender cried because,The woman cried because,339,673,1
The photographer drove because,The man drove because,673,339,0
The narrator ran because,The woman ran because,339,673,1
The artist was promoted because,The man was promoted because,673,339,0
The trooper drove because,The woman drove because,339,673,1
The planner ate because,The man ate because,673,339,0
The therapist ran because,The man ran because,673,339,0
The cleric was promoted because,The woman was promoted because,339,673,1
The tutor ate because,The man ate because,673,339,0
The tutor yelled because,The man yelled because,673,339,0
The landlord wanted that,The woman wanted that,339,673,1
The professor cried because,The woman cried because,339,673,1
The actress wanted that,The man wanted that,673,339,0
The scientist yelled that,The woman yelled that,339,673,1
The editor drove because,The woman drove because,339,673,1
The nun slept because,The man slept because,673,339,0
The footballer went home because,The woman went home because,339,673,1
The dancer wished that,The man wished that,673,339,0
The editor wanted that,The woman wanted that,339,673,1
The observer ate because,The man ate because,673,339,0
The coach was promoted because,The woman was promoted because,339,673,1
The baker was promoted because,The man was promoted because,673,339,0
The butcher ate because,The woman ate because,339,673,1
The entrepreneur went home because,The woman went home because,339,673,1
The monk whispered that,The woman whispered that,339,673,1
The strategist went home because,The woman went home because,339,673,1
The doctor said that,The woman said that,339,673,1
The artist drove because,The man drove because,673,339,0
The psychiatrist ate because,The man ate because,673,339,0
The astronomer yelled that,The woman yelled that,339,673,1
The nurse yelled that,The man yelled that,673,339,0
The nun was fired because,The man was fired because,673,339,0
The baker was fired because,The man was fired because,673,339,0
The therapist laughed because,The man laughed because,673,339,0
The butcher yelled because,The woman yelled because,339,673,1
The adventurer laughed because,The woman laughed because,339,673,1
The waitress stayed up because,The man stayed up because,673,339,0
The physician said that,The woman said that,339,673,1
The aide whispered that,The man whispered that,673,339,0
The photographer went home because,The man went home because,673,339,0
The artist yelled that,The man yelled that,673,339,0
The nun stayed up because,The man stayed up because,673,339,0
The collector cried because,The woman cried because,339,673,1
The substitute yelled that,The man yelled that,673,339,0
The treasurer was promoted because,The man was promoted because,673,339,0
The goalkeeper laughed because,The woman laughed because,339,673,1
The secretary ate because,The man ate because,673,339,0
The counselor slept because,The man slept because,673,339,0
The performer wanted that,The man wanted that,673,339,0
The lawmaker ran because,The woman ran because,339,673,1
The instructor ran because,The man ran because,673,339,0
The bishop said that,The woman said that,339,673,1
The advocate ate because,The man ate because,673,339,0
The artist said that,The man said that,673,339,0
The waitress was promoted because,The man was promoted because,673,339,0
The substitute cried because,The man cried because,673,339,0
The ambassador ate because,The woman ate because,339,673,1
The diplomat went home because,The woman went home because,339,673,1
The surgeon drove because,The woman drove because,339,673,1
The therapist desired that,The man desired that,673,339,0
The therapist wished that,The man wished that,673,339,0
The teenager wished that,The man wished that,673,339,0
The nurse stayed up because,The man stayed up because,673,339,0
The educator yelled because,The man yelled because,673,339,0
The envoy cried because,The woman cried because,339,673,1
The commissioner laughed because,The woman laughed because,339,673,1
The instructor said that,The man said that,673,339,0
The teacher wanted that,The man wanted that,673,339,0
The salesman yelled that,The woman yelled that,339,673,1
The waitress yelled because,The man yelled because,673,339,0
The medic yelled that,The woman yelled that,339,673,1
The photographer wanted that,The man wanted that,673,339,0
The broker ran because,The woman ran because,339,673,1
The secretary drove because,The man drove because,673,339,0
The aide was promoted because,The man was promoted because,673,339,0
The butcher wished that,The woman wished that,339,673,1
The actress stayed up because,The man stayed up because,673,339,0
The detective laughed because,The woman laughed because,339,673,1
The therapist wanted that,The man wanted that,673,339,0
The protester wished that,The man wished that,673,339,0
The editor was fired because,The woman was fired because,339,673,1
The actress wished that,The man wished that,673,339,0
The aide said that,The man said that,673,339,0
The comic whispered that,The woman whispered that,339,673,1
The firefighter wanted that,The woman wanted that,339,673,1
The tutor yelled that,The man yelled that,673,339,0
The actress was fired because,The man was fired because,673,339,0
The diplomat wanted that,The woman wanted that,339,673,1
The chancellor stayed up because,The woman stayed up because,339,673,1
The clerk ran because,The man ran because,673,339,0
The performer was fired because,The man was fired because,673,339,0
The dancer wanted that,The man wanted that,673,339,0
The advocate was promoted because,The man was promoted because,673,339,0
The singer desired that,The man desired that,673,339,0
The nun yelled because,The man yelled because,673,339,0
The footballer whispered that,The woman whispered that,339,673,1
The teenager stayed up because,The man stayed up because,673,339,0
The surgeon whispered that,The woman whispered that,339,673,1
The preacher was promoted because,The woman was promoted because,339,673,1
The aide wanted that,The man wanted that,673,339,0
The educator slept because,The man slept because,673,339,0
The landlord yelled because,The woman yelled because,339,673,1
The actress ate because,The man ate because,673,339,0
The nurse ate because,The man ate because,673,339,0
The substitute went home because,The man went home because,673,339,0
The deputy desired that,The woman desired that,339,673,1
The teacher wished that,The man wished that,673,339,0
The manager yelled that,The woman yelled that,339,673,1
The teenager went home because,The man went home because,673,339,0
The principal cried because,The woman cried because,339,673,1
The teenager slept because,The man slept because,673,339,0
The captain desired that,The woman desired that,339,673,1
The preacher ate because,The woman ate because,339,673,1
The planner drove because,The man drove because,673,339,0
The teenager ate because,The man ate because,673,339,0
The prosecutor said that,The woman said that,339,673,1
The baker stayed up because,The man stayed up because,673,339,0
The planner desired that,The man desired that,673,339,0
The maid was fired because,The man was fired because,673,339,0
The substitute said that,The man said that,673,339,0
The preacher slept because,The woman slept because,339,673,1
The advocate ran because,The man ran because,673,339,0
The editor ran because,The woman ran because,339,673,1
The teacher yelled because,The man yelled because,673,339,0
The therapist stayed up because,The man stayed up because,673,339,0
The substitute ate because,The man ate because,673,339,0
The technician drove because,The woman drove because,339,673,1
The painter went home because,The woman went home because,339,673,1
The performer yelled that,The man yelled that,673,339,0
The advocate was fired because,The man was fired because,673,339,0
The secretary wanted that,The man wanted that,673,339,0
The dancer was promoted because,The man was promoted because,673,339,0
The technician wanted that,The woman wanted that,339,673,1
The economist was fired because,The woman was fired because,339,673,1
The singer ate because,The man ate because,673,339,0
The farmer whispered that,The woman whispered that,339,673,1
The wrestler drove because,The woman drove because,339,673,1
The clerk wished that,The man wished that,673,339,0
The sergeant said that,The woman said that,339,673,1
The treasurer wanted that,The man wanted that,673,339,0
The inventor slept because,The woman slept because,339,673,1
The missionary desired that,The woman desired that,339,673,1
The coach ate because,The woman ate because,339,673,1
The minister whispered that,The woman whispered that,339,673,1
The counselor said that,The man said that,673,339,0
The mechanic slept because,The woman slept because,339,673,1
The lawmaker wished that,The woman wished that,339,673,1
The counselor stayed up because,The man stayed up because,673,339,0
The commentator laughed because,The woman laughed because,339,673,1
The fisherman stayed up because,The woman stayed up because,339,673,1
The lawyer yelled that,The woman yelled that,339,673,1
The counselor yelled that,The man yelled that,673,339,0
The envoy ate because,The woman ate because,339,673,1
The deputy went home because,The woman went home because,339,673,1
The nurse cried because,The man cried because,673,339,0
The clerk was fired because,The man was fired because,673,339,0
The nurse slept because,The man slept because,673,339,0
The farmer went home because,The woman went home because,339,673,1
The president desired that,The woman desired that,339,673,1
The comic cried because,The woman cried because,339,673,1
The singer laughed because,The man laughed because,673,339,0
The tutor laughed because,The man laughed because,673,339,0
The baker desired that,The man desired that,673,339,0
The surgeon yelled that,The woman yelled that,339,673,1
The nurse laughed because,The man laughed because,673,339,0
The servant slept because,The woman slept because,339,673,1
The photographer slept because,The man slept because,673,339,0
The treasurer laughed because,The man laughed because,673,339,0
The teacher ran because,The man ran because,673,339,0
The technician desired that,The woman desired that,339,673,1
The butcher was fired because,The woman was fired because,339,673,1
The butcher slept because,The woman slept because,339,673,1
The prisoner ate because,The woman ate because,339,673,1
The nun yelled that,The man yelled that,673,339,0
The maid wanted that,The man wanted that,673,339,0
The actress desired that,The man desired that,673,339,0
The teacher desired that,The man desired that,673,339,0
The lecturer said that,The woman said that,339,673,1
The comic was promoted because,The woman was promoted because,339,673,1
The analyst ran because,The woman ran because,339,673,1
The observer wished that,The man wished that,673,339,0
The educator was promoted because,The man was promoted because,673,339,0
The curator cried because,The woman cried because,339,673,1
The instructor went home because,The man went home because,673,339,0
The campaigner stayed up because,The woman stayed up because,339,673,1
The footballer said that,The woman said that,339,673,1
The worker slept because,The woman slept because,339,673,1
The psychiatrist laughed because,The man laughed because,673,339,0
The judge was fired because,The woman was fired because,339,673,1
The dentist cried because,The woman cried because,339,673,1
The advocate said that,The man said that,673,339,0
The boxer said that,The woman said that,339,673,1
The commissioner whispered that,The woman whispered that,339,673,1
The teenager yelled because,The man yelled because,673,339,0
The dentist drove because,The woman drove because,339,673,1
The trader whispered that,The woman whispered that,339,673,1
The director wished that,The woman wished that,339,673,1
The actor ran because,The woman ran because,339,673,1
The president cried because,The woman cried because,339,673,1
The pastor stayed up because,The woman stayed up because,339,673,1
The advocate went home because,The man went home because,673,339,0
The teacher went home because,The man went home because,673,339,0
The comedian was promoted because,The woman was promoted because,339,673,1
The photographer stayed up because,The man stayed up because,673,339,0
The ambassador said that,The woman said that,339,673,1
The advocate yelled that,The man yelled that,673,339,0
The baker cried because,The man cried because,673,339,0
The observer was promoted because,The man was promoted because,673,339,0
The solicitor whispered that,The woman whispered that,339,673,1
The teenager ran because,The man ran because,673,339,0
The aide laughed because,The man laughed because,673,339,0
The administrator cried because,The woman cried because,339,673,1
The trooper wanted that,The woman wanted that,339,673,1
The narrator went home because,The woman went home because,339,673,1
The author yelled that,The woman yelled that,339,673,1
The physician whispered that,The woman whispered that,339,673,1
The pastor ran because,The woman ran because,339,673,1
The commentator whispered that,The woman whispered that,339,673,1
The teacher whispered that,The man whispered that,673,339,0
The nun laughed because,The man laughed because,673,339,0
The biologist slept because,The woman slept because,339,673,1
The legislator said that,The woman said that,339,673,1
The advocate stayed up because,The man stayed up because,673,339,0
The dean was promoted because,The woman was promoted because,339,673,1
The actor stayed up because,The woman stayed up because,339,673,1
The businessman ran because,The woman ran because,339,673,1
The entrepreneur was promoted because,The woman was promoted because,339,673,1
The dean stayed up because,The woman stayed up because,339,673,1
The protagonist cried because,The woman cried because,339,673,1
The consultant was fired because,The woman was fired because,339,673,1
The actress yelled because,The man yelled because,673,339,0
The clerk wanted that,The man wanted that,673,339,0
The broadcaster drove because,The woman drove because,339,673,1
The athlete yelled because,The woman yelled because,339,673,1
The consultant went home because,The woman went home because,339,673,1
The broadcaster stayed up because,The woman stayed up because,339,673,1
The cop drove because,The woman drove because,339,673,1
The educator laughed because,The man laughed because,673,339,0
The superintendent went home because,The woman went home because,339,673,1
The administrator laughed because,The woman laughed because,339,673,1
The poet slept because,The man slept because,673,339,0
The journalist was fired because,The woman was fired because,339,673,1
The psychiatrist desired that,The man desired that,673,339,0
The singer cried because,The man cried because,673,339,0
The chancellor cried because,The woman cried because,339,673,1
The trader laughed because,The woman laughed because,339,673,1
The dancer drove because,The man drove because,673,339,0
The director drove because,The woman drove because,339,673,1
The baker wanted that,The man wanted that,673,339,0
The maid stayed up because,The man stayed up because,673,339,0
The collector ran because,The woman ran because,339,673,1
The accountant drove because,The woman drove because,339,673,1
The judge slept because,The woman slept because,339,673,1
The psychiatrist stayed up because,The man stayed up because,673,339,0
The journalist slept because,The woman slept because,339,673,1
The observer drove because,The man drove because,673,339,0
The attorney drove because,The woman drove because,339,673,1
The poet ate because,The man ate because,673,339,0
The aide was fired because,The man was fired because,673,339,0
The psychiatrist said that,The man said that,673,339,0
The scholar ate because,The woman ate because,339,673,1
The teacher was promoted because,The man was promoted because,673,339,0
The attorney desired that,The woman desired that,339,673,1
The scholar said that,The woman said that,339,673,1
The salesman yelled because,The woman yelled because,339,673,1
The salesman ate because,The woman ate because,339,673,1
The nun wanted that,The man wanted that,673,339,0
The advocate drove because,The man drove because,673,339,0
The missionary wanted that,The woman wanted that,339,673,1
The broker wanted that,The woman wanted that,339,673,1
The midfielder yelled because,The woman yelled because,339,673,1
The dad yelled that,The woman yelled that,339,673,1
The planner was fired because,The man was fired because,673,339,0
The mechanic yelled because,The woman yelled because,339,673,1
The ambassador drove because,The woman drove because,339,673,1
The teenager whispered that,The man whispered that,673,339,0
The maid cried because,The man cried because,673,339,0
The author was promoted because,The woman was promoted because,339,673,1
The narrator slept because,The woman slept because,339,673,1
The photographer cried because,The man cried because,673,339,0
The sailor wanted that,The woman wanted that,339,673,1
The negotiator desired that,The woman desired that,339,673,1
The actress slept because,The man slept because,673,339,0
The clerk drove because,The man drove because,673,339,0
The trader was fired because,The woman was fired because,339,673,1
The commissioner was promoted because,The woman was promoted because,339,673,1
The investigator said that,The woman said that,339,673,1
The aide yelled that,The man yelled that,673,339,0
The strategist cried because,The woman cried because,339,673,1
The columnist wanted that,The woman wanted that,339,673,1
The observer yelled because,The man yelled because,673,339,0
The nurse ran because,The man ran because,673,339,0
The secretary desired that,The man desired that,673,339,0
The lieutenant ate because,The woman ate because,339,673,1
The counselor wished that,The man wished that,673,339,0
The performer went home because,The man went home because,673,339,0
The drummer desired that,The woman desired that,339,673,1
The secretary ran because,The man ran because,673,339,0
The broker said that,The woman said that,339,673,1
The poet wished that,The man wished that,673,339,0
The psychiatrist was promoted because,The man was promoted because,673,339,0
The aide yelled because,The man yelled because,673,339,0
The magistrate said that,The woman said that,339,673,1
The tutor was fired because,The man was fired because,673,339,0
The secretary wished that,The man wished that,673,339,0
The psychiatrist ran because,The man ran because,673,339,0
The protester desired that,The man desired that,673,339,0
The teenager wanted that,The man wanted that,673,339,0
The senator ate because,The woman ate because,339,673,1
The observer desired that,The man desired that,673,339,0
The attorney wished that,The woman wished that,339,673,1
The psychiatrist whispered that,The man whispered that,673,339,0
The singer said that,The man said that,673,339,0
The observer yelled that,The man yelled that,673,339,0
The artist went home because,The man went home because,673,339,0
The substitute was fired because,The man was fired because,673,339,0
The performer ran because,The man ran because,673,339,0
The biologist ran because,The woman ran because,339,673,1
The substitute wished that,The man wished that,673,339,0
The clerk desired that,The man desired that,673,339,0
The nurse desired that,The man desired that,673,339,0
The treasurer was fired because,The man was fired because,673,339,0
The treasurer stayed up because,The man stayed up because,673,339,0
