sentence,label,group,source
A niece of most senators,0,blimp,distractor_agreement_relational_noun
The sketch of those trucks,0,blimp,distractor_agreement_relational_noun
A newspaper article about the Borgias,0,blimp,distractor_agreement_relational_noun
The niece of most guests,0,blimp,distractor_agreement_relational_noun
A sketch of lights,0,blimp,distractor_agreement_relational_noun
The movies about Galileo,1,blimp,distractor_agreement_relational_noun
A cousin of a lot of dancers,0,blimp,distractor_agreement_relational_noun
A movie about the Impressionists,0,blimp,distractor_agreement_relational_noun
The pamphlets about Galileo,1,blimp,distractor_agreement_relational_noun
The daughter of those senators,0,blimp,distractor_agreement_relational_noun
A story about the Balkans,0,blimp,distractor_agreement_relational_noun
The sisters of Timothy,1,blimp,distractor_agreement_relational_noun
The daughter of the Lutherans,0,blimp,distractor_agreement_relational_noun
A nephew of senators,0,blimp,distractor_agreement_relational_noun
The prints of that high school,1,blimp,distractor_agreement_relational_noun
A report about the Impressionists,0,blimp,distractor_agreement_relational_noun
The grandsons of Douglas,1,blimp,distractor_agreement_relational_noun
The mothers of Mary,1,blimp,distractor_agreement_relational_noun
The books about Winston Churchill,1,blimp,distractor_agreement_relational_noun
The sketches of some dancer,1,blimp,distractor_agreement_relational_noun
The daughter of most actresses,0,blimp,distractor_agreement_relational_noun
A story about the Lutherans,0,blimp,distractor_agreement_relational_noun
The friends of every person,1,blimp,distractor_agreement_relational_noun
A father of guys,0,blimp,distractor_agreement_relational_noun
The commentaries about music,1,blimp,distractor_agreement_relational_noun
The grandfathers of Diana,1,blimp,distractor_agreement_relational_noun
The daughters of Wayne,1,blimp,distractor_agreement_relational_noun
The pamphlets about art,1,blimp,distractor_agreement_relational_noun
A granddaughter of the Impressionists,0,blimp,distractor_agreement_relational_noun
The granddaughters of Walter,1,blimp,distractor_agreement_relational_noun
The reports about art,1,blimp,distractor_agreement_relational_noun
A brochure about the Balkans,0,blimp,distractor_agreement_relational_noun
The sons of Victoria,1,blimp,distractor_agreement_relational_noun
The report about the Impressionists,0,blimp,distractor_agreement_relational_noun
The commentaries about politics,1,blimp,distractor_agreement_relational_noun
A son of some actors,0,blimp,distractor_agreement_relational_noun
The shows about Monet,1,blimp,distractor_agreement_relational_noun
The granddaughters of Michelle,1,blimp,distractor_agreement_relational_noun
The painting of a lot of sweaters,0,blimp,distractor_agreement_relational_noun
The pamphlets about Winston Churchill,1,blimp,distractor_agreement_relational_noun
The drawing of these pants,0,blimp,distractor_agreement_relational_noun
The grandsons of Theodore,1,blimp,distractor_agreement_relational_noun
The granddaughters of Amanda,1,blimp,distractor_agreement_relational_noun
The plays about Harvard University,1,blimp,distractor_agreement_relational_noun
The stories about literature,1,blimp,distractor_agreement_relational_noun
A story about the Impressionists,0,blimp,distractor_agreement_relational_noun
The print of all tomatoes,0,blimp,distractor_agreement_relational_noun
A pamphlet about the Borgias,0,blimp,distractor_agreement_relational_noun
The mother of those dancers,0,blimp,distractor_agreement_relational_noun
The mothers of Cheryl,1,blimp,distractor_agreement_relational_noun
The paintings of Donna,1,blimp,distractor_agreement_relational_noun
A book about the Impressionists,0,blimp,distractor_agreement_relational_noun
The brochure about the Impressionists,0,blimp,distractor_agreement_relational_noun
The sons of a guy,1,blimp,distractor_agreement_relational_noun
The mother of the pedestrians,0,blimp,distractor_agreement_relational_noun
The nieces of Gerald,1,blimp,distractor_agreement_relational_noun
The reports about Jesus,1,blimp,distractor_agreement_relational_noun
A daughter of a lot of waiters,0,blimp,distractor_agreement_relational_noun
The nieces of Rachel,1,blimp,distractor_agreement_relational_noun
The essays about Spain,1,blimp,distractor_agreement_relational_noun
The father of many pedestrians,0,blimp,distractor_agreement_relational_noun
A painting of most photographs,0,blimp,distractor_agreement_relational_noun
A sister of some children,0,blimp,distractor_agreement_relational_noun
The newspaper articles about Harvard University,1,blimp,distractor_agreement_relational_noun
The prints of this icicle,1,blimp,distractor_agreement_relational_noun
The book about the Lutherans,0,blimp,distractor_agreement_relational_noun
The grandmothers of Heather,1,blimp,distractor_agreement_relational_noun
A father of these patients,0,blimp,distractor_agreement_relational_noun
A grandson of most doctors,0,blimp,distractor_agreement_relational_noun
The painting of a lot of eggplants,0,blimp,distractor_agreement_relational_noun
The nieces of the girl,1,blimp,distractor_agreement_relational_noun
The grandmothers of Jennifer,1,blimp,distractor_agreement_relational_noun
The granddaughters of Anna,1,blimp,distractor_agreement_relational_noun
The report about the Great Lakes,0,blimp,distractor_agreement_relational_noun
The shows about Spain,1,blimp,distractor_agreement_relational_noun
The photograph of jackets,0,blimp,distractor_agreement_relational_noun
The story about the Clintons,0,blimp,distractor_agreement_relational_noun
The cousins of Martin,1,blimp,distractor_agreement_relational_noun
The son of some waitresses,0,blimp,distractor_agreement_relational_noun
A granddaughter of the pedestrians,0,blimp,distractor_agreement_relational_noun
The commentary about the Impressionists,0,blimp,distractor_agreement_relational_noun
A daughter of most pedestrians,0,blimp,distractor_agreement_relational_noun
A newspaper article about the Balkans,0,blimp,distractor_agreement_relational_noun
The documentary about the Clintons,0,blimp,distractor_agreement_relational_noun
The brochures about Galileo,1,blimp,distractor_agreement_relational_noun
The newspaper articles about Galileo,1,blimp,distractor_agreement_relational_noun
The picture of many college campuses,0,blimp,distractor_agreement_relational_noun
The show about the Borgias,0,blimp,distractor_agreement_relational_noun
The brochures about Winston Churchill,1,blimp,distractor_agreement_relational_noun
A commentary about the Clintons,0,blimp,distractor_agreement_relational_noun
The daughters of Charles,1,blimp,distractor_agreement_relational_noun
The print of many doctors,0,blimp,distractor_agreement_relational_noun
The pictures of Cindy,1,blimp,distractor_agreement_relational_noun
The grandson of the teachers,0,blimp,distractor_agreement_relational_noun
The nephew of many waiters,0,blimp,distractor_agreement_relational_noun
The reports about politics,1,blimp,distractor_agreement_relational_noun
A daughter of these actors,0,blimp,distractor_agreement_relational_noun
The plays about Spain,1,blimp,distractor_agreement_relational_noun
The essays about Jesus,1,blimp,distractor_agreement_relational_noun
The commentary about the Clintons,0,blimp,distractor_agreement_relational_noun
A drawing of many peppers,0,blimp,distractor_agreement_relational_noun
The daughter of those women,0,blimp,distractor_agreement_relational_noun
The daughters of Bruce,1,blimp,distractor_agreement_relational_noun
The books about Galileo,1,blimp,distractor_agreement_relational_noun
A commentary about the Balkans,0,blimp,distractor_agreement_relational_noun
The pictures of Walter,1,blimp,distractor_agreement_relational_noun
The book about the Great Lakes,0,blimp,distractor_agreement_relational_noun
A pamphlet about the Lutherans,0,blimp,distractor_agreement_relational_noun
A painting of some horses,0,blimp,distractor_agreement_relational_noun
The picture of the shirts,0,blimp,distractor_agreement_relational_noun
The fathers of Anne,1,blimp,distractor_agreement_relational_noun
A movie about the Great Lakes,0,blimp,distractor_agreement_relational_noun
The print of all teenagers,0,blimp,distractor_agreement_relational_noun
The photographs of Florence,1,blimp,distractor_agreement_relational_noun
The nieces of Ellen,1,blimp,distractor_agreement_relational_noun
The grandfather of most drivers,0,blimp,distractor_agreement_relational_noun
The plays about art,1,blimp,distractor_agreement_relational_noun
The grandsons of Janet,1,blimp,distractor_agreement_relational_noun
A pamphlet about the Balkans,0,blimp,distractor_agreement_relational_noun
The grandmothers of James,1,blimp,distractor_agreement_relational_noun
The grandson of a lot of customers,0,blimp,distractor_agreement_relational_noun
The drawings of this spinach,1,blimp,distractor_agreement_relational_noun
The movies about Monet,1,blimp,distractor_agreement_relational_noun
The nieces of Tanya,1,blimp,distractor_agreement_relational_noun
A brother of most drivers,0,blimp,distractor_agreement_relational_noun
The stories about Galileo,1,blimp,distractor_agreement_relational_noun
The grandmothers of Emily,1,blimp,distractor_agreement_relational_noun
The plays about travel,1,blimp,distractor_agreement_relational_noun
The documentaries about Monet,1,blimp,distractor_agreement_relational_noun
The grandmother of a lot of dancers,0,blimp,distractor_agreement_relational_noun
The photographs of Marie,1,blimp,distractor_agreement_relational_noun
A commentary about the Impressionists,0,blimp,distractor_agreement_relational_noun
The story about the Lutherans,0,blimp,distractor_agreement_relational_noun
A documentary about the Lutherans,0,blimp,distractor_agreement_relational_noun
The newspaper articles about Jesus,1,blimp,distractor_agreement_relational_noun
The commentaries about science,1,blimp,distractor_agreement_relational_noun
The newspaper article about the Borgias,0,blimp,distractor_agreement_relational_noun
