,clean,corrupted,corrupted_hard,correct_idx,incorrect_idx
179,"When Jeffrey and Nicholas got a snack at the office, Nicholas decided to give it to","When Jeffrey and Nicholas got a snack at the office, Adam decided to give it to","When Jeffrey and Nicholas got a snack at the office, Jeffrey decided to give it to",30274,26876
809,"Then, Benjamin and Katie had a long argument, and afterwards Katie said to","Then, Benjamin and Katie had a long argument, and afterwards John said to","Then, Benjamin and Katie had a long argument, and afterwards Benjamin said to",19046,37073
35,"Then, Nicole and Robert went to the station. Robert gave a necklace to","Then, Nicole and Robert went to the station. Kevin gave a necklace to","Then, Nicole and Robert went to the station. Nicole gave a necklace to",37930,6911
79,"When Richard and Jose got a necklace at the house, Jose decided to give it to","When Richard and Jose got a necklace at the house, Jacob decided to give it to","When Richard and Jose got a necklace at the house, Richard decided to give it to",7727,7924
228,"When Megan and Joseph got a necklace at the hospital, Megan decided to give it to","When Megan and Joseph got a necklace at the hospital, Brandon decided to give it to","When Megan and Joseph got a necklace at the hospital, Joseph decided to give it to",10092,45867
202,"Then, Sean and Aaron went to the office. Aaron gave a drink to","Then, Sean and Aaron went to the office. Matthew gave a drink to","Then, Sean and Aaron went to the office. Sean gave a drink to",22723,22234
884,"After Sarah and Patrick went to the garden, Patrick gave a ring to","After Sarah and Patrick went to the garden, Timothy gave a ring to","After Sarah and Patrick went to the garden, Sarah gave a ring to",15458,15435
514,"After Stephanie and Nicole went to the restaurant, Stephanie gave a computer to","After Stephanie and Nicole went to the restaurant, Jason gave a computer to","After Stephanie and Nicole went to the restaurant, Nicole gave a computer to",37930,38150
751,"Then, Stephen and Kelly had a lot of fun at the garden. Kelly gave a ring to","Then, Stephen and Kelly had a lot of fun at the garden. Amber gave a ring to","Then, Stephen and Kelly had a lot of fun at the garden. Stephen gave a ring to",12167,14943
576,"Then, Matthew and Sean had a long argument, and afterwards Matthew said to","Then, Matthew and Sean had a long argument, and afterwards Jeffrey said to","Then, Matthew and Sean had a long argument, and afterwards Sean said to",22723,18322
397,"When Jonathan and Eric got a necklace at the house, Jonathan decided to give it to","When Jonathan and Eric got a necklace at the house, Megan decided to give it to","When Jonathan and Eric got a necklace at the house, Eric decided to give it to",12284,18985
402,"Then, Amber and Anthony were working at the hospital. Amber decided to give a basketball to","Then, Amber and Anthony were working at the hospital. Andrew decided to give a basketball to","Then, Amber and Anthony were working at the hospital. Anthony decided to give a basketball to",16358,41131
910,"Then, Emily and Joseph were thinking about going to the hospital. Emily wanted to give a ring to","Then, Emily and Joseph were thinking about going to the hospital. Sean wanted to give a ring to","Then, Emily and Joseph were thinking about going to the hospital. Joseph wanted to give a ring to",10092,24504
180,"Then, Megan and Jason had a lot of fun at the office. Megan gave a ring to","Then, Megan and Jason had a lot of fun at the office. Sarah gave a ring to","Then, Megan and Jason had a lot of fun at the office. Jason gave a ring to",16553,45867
534,"After Lindsay and Robert went to the school, Robert gave a necklace to","After Lindsay and Robert went to the school, Jason gave a necklace to","After Lindsay and Robert went to the school, Lindsay gave a necklace to",44056,6911
505,"Then, Megan and Scott had a long argument, and afterwards Scott said to","Then, Megan and Scott had a long argument, and afterwards James said to","Then, Megan and Scott had a long argument, and afterwards Megan said to",45867,7493
160,"When Nathan and Cody got a necklace at the garden, Nathan decided to give it to","When Nathan and Cody got a necklace at the garden, Emily decided to give it to","When Nathan and Cody got a necklace at the garden, Cody decided to give it to",48545,23662
648,"Then, Cody and Lauren were working at the garden. Cody decided to give a kiss to","Then, Cody and Lauren were working at the garden. Jacob decided to give a kiss to","Then, Cody and Lauren were working at the garden. Lauren decided to give a kiss to",33821,48545
198,"When Lindsay and Emily got a snack at the hospital, Lindsay decided to give it to","When Lindsay and Emily got a snack at the hospital, John decided to give it to","When Lindsay and Emily got a snack at the hospital, Emily decided to give it to",24504,44056
575,"Then, Travis and Crystal had a lot of fun at the office. Travis gave a snack to","Then, Travis and Crystal had a lot of fun at the office. Nicole gave a snack to","Then, Travis and Crystal had a lot of fun at the office. Crystal gave a snack to",29509,35382
71,"When Jacob and Jesse got a computer at the restaurant, Jacob decided to give it to","When Jacob and Jesse got a computer at the restaurant, Joshua decided to give it to","When Jacob and Jesse got a computer at the restaurant, Jesse decided to give it to",31472,14737
171,"Then, Jonathan and John were working at the store. John decided to give a bone to","Then, Jonathan and John were working at the store. Bryan decided to give a bone to","Then, Jonathan and John were working at the store. Jonathan decided to give a bone to",18985,2516
597,"Then, Stephen and Jacob were thinking about going to the station. Stephen wanted to give a kiss to","Then, Stephen and Jacob were thinking about going to the station. Jonathan wanted to give a kiss to","Then, Stephen and Jacob were thinking about going to the station. Jacob wanted to give a kiss to",14737,12167
73,"Then, Cody and James were working at the school. Cody decided to give a drink to","Then, Cody and James were working at the school. Daniel decided to give a drink to","Then, Cody and James were working at the school. James decided to give a drink to",5490,48545
229,"Then, Crystal and Christine were working at the hospital. Crystal decided to give a ring to","Then, Crystal and Christine were working at the hospital. Timothy decided to give a ring to","Then, Crystal and Christine were working at the hospital. Christine decided to give a ring to",36449,29509
272,"Then, Steven and Eric had a lot of fun at the office. Steven gave a bone to","Then, Steven and Eric had a lot of fun at the office. James gave a bone to","Then, Steven and Eric had a lot of fun at the office. Eric gave a bone to",12284,19436
524,"Then, Brian and Kevin were working at the restaurant. Kevin decided to give a drink to","Then, Brian and Kevin were working at the restaurant. Jamie decided to give a drink to","Then, Brian and Kevin were working at the restaurant. Brian decided to give a drink to",14468,15273
680,"Then, Nicole and Eric were working at the restaurant. Eric decided to give a ring to","Then, Nicole and Eric were working at the restaurant. Nicholas decided to give a ring to","Then, Nicole and Eric were working at the restaurant. Nicole decided to give a ring to",37930,12284
846,"Then, Jacob and Amy had a lot of fun at the garden. Jacob gave a necklace to","Then, Jacob and Amy had a lot of fun at the garden. Benjamin gave a necklace to","Then, Jacob and Amy had a lot of fun at the garden. Amy gave a necklace to",22138,14737
713,"Then, Christine and Stephen went to the hospital. Stephen gave a kiss to","Then, Christine and Stephen went to the hospital. Allison gave a kiss to","Then, Christine and Stephen went to the hospital. Christine gave a kiss to",36449,12167
968,"Then, Amy and Amanda had a long argument, and afterwards Amy said to","Then, Amy and Amanda had a long argument, and afterwards Jonathan said to","Then, Amy and Amanda had a long argument, and afterwards Amanda said to",33811,22138
866,"Then, Christopher and Timothy had a lot of fun at the store. Timothy gave a drink to","Then, Christopher and Timothy had a lot of fun at the store. Jeffrey gave a drink to","Then, Christopher and Timothy had a lot of fun at the store. Christopher gave a drink to",19717,32905
440,"Then, Amber and Adam went to the hospital. Amber gave a necklace to","Then, Amber and Adam went to the hospital. Kenneth gave a necklace to","Then, Amber and Adam went to the hospital. Adam gave a necklace to",13187,41131
323,"Then, Andrew and Christopher went to the hospital. Christopher gave a kiss to","Then, Andrew and Christopher went to the hospital. Sarah gave a kiss to","Then, Andrew and Christopher went to the hospital. Andrew gave a kiss to",11116,19717
745,"After Katie and Heather went to the station, Katie gave a kiss to","After Katie and Heather went to the station, John gave a kiss to","After Katie and Heather went to the station, Heather gave a kiss to",37083,37073
557,"Then, Kelly and Timothy had a lot of fun at the garden. Kelly gave a necklace to","Then, Kelly and Timothy had a lot of fun at the garden. Kevin gave a necklace to","Then, Kelly and Timothy had a lot of fun at the garden. Timothy gave a necklace to",32905,14943
473,"After Bradley and Kenneth went to the store, Bradley gave a computer to","After Bradley and Kenneth went to the store, Robert gave a computer to","After Bradley and Kenneth went to the store, Kenneth gave a computer to",31270,27991
